MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    248.26      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     120516 3600 000000-010000   00     254.26  995.3    245.78    -1.00    -9999
MOSCOW     120516 3600 010000-020000   00     254.18  995.5    246.04    -0.90    -9999
MOSCOW     120516 3600 020000-030000   00     253.42  995.9    246.05    -0.90    -9999
MOSCOW     120516 3600 030000-040000   00     253.64  996.1    246.63    -0.70    -9999
MOSCOW     120516 3600 040000-050000   00     253.38  996.2    246.45    -0.70    -9999
MOSCOW     120516 3600 050000-060000   00     253.86  996.2    247.09    -0.50    -9999
MOSCOW     120516 3600 060000-070000   00     254.56  996.2    247.76    -0.20    -9999
MOSCOW     120516 3600 070000-080000   00     254.27  996.3    247.50    -0.30    -9999
MOSCOW     120516 3600 080000-090000   00     254.74  996.2    247.78    -0.20    -9999
MOSCOW     120516 3600 090000-100000   00     254.68  996.2    247.81    -0.20    -9999
MOSCOW     120516 3600 100000-110000   00     253.89  996.1    246.90    -0.50    -9999
MOSCOW     120516 3600 110000-120000   00     254.97  995.9    247.47    -0.30    -9999
MOSCOW     120516 3600 120000-130000   00     256.35  995.5    248.16     0.00    -9999
MOSCOW     120516 3600 130000-140000   00     255.79  995.2    247.04    -0.50    -9999
MOSCOW     120516 3600 140000-150000   00     256.00  994.9    246.72    -0.60    -9999
MOSCOW     120516 3600 150000-160000   00     255.69  994.7    246.14    -0.90    -9999
MOSCOW     120516 3600 160000-170000   00     255.88  994.7    246.36    -0.80    -9999
MOSCOW     120516 3600 170000-180000   00     255.54  995.1    246.66    -0.60    -9999
MOSCOW     120516 3600 180000-190000   00     254.85  995.4    246.63    -0.70    -9999
MOSCOW     120516 3600 190000-200000   00     254.76  995.6    246.79    -0.60    -9999
MOSCOW     120516 3600 200000-210000   00     255.78  995.5    247.54    -0.30    -9999
MOSCOW     120516 300  210000-210500   00     254.55  995.3    246.00    -0.90    -9999
MOSCOW     120516 300  210500-211000   00     256.44  995.2    247.77    -0.20    -9999
MOSCOW     120516 300  211000-211500   00     258.48  995.2    249.70     0.60    -9999
MOSCOW     120516 300  211500-212000   00     255.86  995.2    247.17    -0.40    -9999
MOSCOW     120516 300  212000-212500   00     257.11  995.2    248.37     0.00    -9999
MOSCOW     120516 300  212500-213000   00     257.26  995.2    248.52     0.10    -9999
MOSCOW     120516 300  213000-213500   00     257.33  995.2    248.59     0.10    -9999
MOSCOW     120516 300  213500-214000   00     256.67  995.2    247.95    -0.10    -9999
MOSCOW     120516 300  214000-214500   00     257.57  995.2    248.82     0.20    -9999
MOSCOW     120516 300  214500-215000   00     254.31  995.1    245.53    -1.10    -9999
