NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1005    mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    126.50      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    120516 3600 000000-010000   00     133.40  997.4    126.18    -0.30    -9999
NORILSK    120516 3600 010000-020000   00     132.62  998.3    126.40    -0.10    -9999
NORILSK    120516 3600 020000-030000   00     131.48  999.0    125.87    -0.50    -9999
NORILSK    120516 3600 030000-040000   00     131.58  999.5    126.33    -0.10    -9999
NORILSK    120516 3600 040000-050000   00     131.53  999.8    126.63     0.10    -9999
NORILSK    120516 3600 050000-060000   00     130.55 1000.3    126.15    -0.30    -9999
NORILSK    120516 3600 060000-070000   00     129.67 1000.7    125.70    -0.60    -9999
NORILSK    120516 3600 070000-080000   00     129.37 1001.2    125.77    -0.60    -9999
NORILSK    120516 3600 080000-090000   00     129.17 1001.9    126.30    -0.20    -9999
NORILSK    120516 3600 090000-100000   00     129.05 1002.4    126.58     0.10    -9999
NORILSK    120516 3600 100000-110000   00     128.22 1003.0    126.32    -0.10    -9999
NORILSK    120516 3600 110000-120000   00     127.75 1003.2    126.12    -0.30    -9999
NORILSK    120516 3600 120000-130000   00     128.27 1003.4    126.63     0.10    -9999
NORILSK    120516 3600 130000-140000   00     128.37 1003.3    126.85     0.30    -9999
NORILSK    120516 3600 140000-150000   00     127.95 1003.5    126.58     0.10    -9999
NORILSK    120516 3600 150000-160000   00     127.45 1003.7    126.27    -0.20    -9999
NORILSK    120516 3600 160000-170000   00     127.63 1003.7    126.40    -0.10    -9999
NORILSK    120516 3600 170000-180000   00     127.87 1003.6    126.67     0.10    -9999
