NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     92.26      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NEWARK     120516 3600 000000-010000   00      94.86 1008.0     91.25    -1.10    -9999
NEWARK     120516 3600 010000-020000   00      94.94 1008.2     91.47    -0.90    -9999
NEWARK     120516 3600 020000-030000   00      94.83 1008.5     91.56    -0.80    -9999
NEWARK     120516 3600 030000-040000   00      94.28 1008.4     90.97    -1.40    -9999
NEWARK     120516 3600 040000-050000   00      94.97 1007.9     91.33    -1.00    -9999
NEWARK     120516 3600 050000-060000   00      95.14 1007.4     91.17    -1.20    -9999
NEWARK     120516 3600 060000-070000   00      95.53 1007.1     91.33    -1.00    -9999
NEWARK     120516 3600 070000-080000   00      95.78 1007.0     91.44    -0.90    -9999
NEWARK     120516 3600 080000-090000   00      96.44 1007.0     92.08    -0.20    -9999
NEWARK     120516 3600 090000-100000   00      96.11 1007.1     91.92    -0.40    -9999
NEWARK     120516 3600 100000-110000   00      95.94 1007.6     92.03    -0.20    -9999
NEWARK     120516 3600 110000-120000   00      96.03 1007.6     92.14    -0.10    -9999
NEWARK     120516 3600 120000-130000   00      95.94 1007.8     92.17    -0.10    -9999
NEWARK     120516 3600 130000-140000   00      96.00 1007.7     92.17    -0.10    -9999
NEWARK     120516 3600 140000-150000   00      95.92 1007.9     92.22     0.00    -9999
NEWARK     120516 3600 150000-160000   00      96.31 1008.1     92.72     0.50    -9999
NEWARK     120516 3600 160000-170000   00      96.50 1007.7     92.64     0.40    -9999
NEWARK     120516 3600 170000-180000   00      96.56 1007.2     92.36     0.10    -9999
NEWARK     120516 3600 180000-190000   00      96.39 1006.6     91.81    -0.50    -9999
NEWARK     120516 3600 190000-200000   00      97.22 1006.0     92.14    -0.10    -9999
NEWARK     120516 3600 200000-210000   00      97.28 1005.4     91.83    -0.50    -9999
NEWARK     120516 300  210000-210500   00      96.66 1005.4     91.25    -1.10    -9999
NEWARK     120516 300  210500-211000   00      97.97 1005.5     92.51     0.30    -9999
NEWARK     120516 300  211000-211500   00      98.72 1005.5     93.27     1.10    -9999
NEWARK     120516 300  211500-212000   00      98.75 1005.5     93.31     1.10    -9999
NEWARK     120516 300  212000-212500   00      98.27 1005.5     92.86     0.70    -9999
NEWARK     120516 300  212500-213000   00      98.66 1005.6     93.29     1.10    -9999
NEWARK     120516 300  213000-213500   00      97.71 1005.6     92.39     0.10    -9999
NEWARK     120516 300  213500-214000   00      96.96 1005.6     91.69    -0.60    -9999
NEWARK     120516 300  214000-214500   00      97.01 1005.7     91.81    -0.50    -9999
NEWARK     120516 300  214500-215000   00      95.77 1005.8     90.63    -1.80    -9999
NEWARK     120516 300  215000-215500   00      96.43 1005.8     91.30    -1.00    -9999
NEWARK     120516 300  215500-220000   00      96.98 1005.9     91.86    -0.40    -9999
NEWARK     120516 300  220000-220500   00      97.02 1005.9     91.92    -0.40    -9999
NEWARK     120516 300  220500-221000   00      97.47 1005.9     92.34     0.10    -9999
NEWARK     120516 300  221000-221500   00      97.68 1005.9     92.56     0.30    -9999
NEWARK     120516 300  221500-222000   00      96.47 1005.9     91.41    -0.90    -9999
NEWARK     120516 300  222000-222500   00      96.97 1005.9     91.88    -0.40    -9999
NEWARK     120516 300  222500-223000   00      98.37 1005.9     93.19     1.00    -9999
NEWARK     120516 300  223000-223500   00      97.42 1005.9     92.26     0.00    -9999
NEWARK     120516 300  223500-224000   00      97.71 1005.8     92.51     0.30    -9999
NEWARK     120516 300  224000-224500   00      96.89 1005.9     91.77    -0.50    -9999
NEWARK     120516 300  224500-225000   00      96.37 1005.9     91.30    -1.00    -9999
NEWARK     120516 300  225000-225500   00      97.86 1005.9     92.72     0.50    -9999
NEWARK     120516 300  225500-230000   00      97.05 1005.9     91.95    -0.30    -9999
NEWARK     120516 300  230000-230500   00      97.77 1005.9     92.65     0.40    -9999
NEWARK     120516 300  230500-231000   00      98.65 1005.9     93.47     1.30    -9999
NEWARK     120516 300  231000-231500   00      97.68 1006.0     92.58     0.30    -9999
NEWARK     120516 300  231500-232000   00      98.39 1006.1     93.35     1.20    -9999
NEWARK     120516 300  232000-232500   00      97.38 1006.2     92.47     0.20    -9999
NEWARK     120516 300  232500-233000   00      96.97 1006.2     92.09    -0.20    -9999
NEWARK     120516 300  233000-233500   00      96.52 1006.3     91.71    -0.60    -9999
NEWARK     120516 300  233500-234000   00      97.99 1006.3     93.10     0.90    -9999
NEWARK     120516 300  234000-234500   00      96.60 1006.2     91.73    -0.60    -9999
NEWARK     120516 300  234500-235000   00      97.03 1006.2     92.12    -0.20    -9999
NEWARK     120516 300  235000-235500   00      95.48 1006.2     90.68    -1.70    -9999
NEWARK     120516 300  235500-240000   00      97.29 1006.3     92.45     0.20    -9999
NEWARK     120517 300  000000-000500   00      96.67 1006.4     91.89    -0.40    -9999
NEWARK     120517 300  000500-001000   00      98.20 1006.4     93.41     1.20    -9999
NEWARK     120517 300  001000-001500   00      96.33 1006.5     91.64    -0.70    -9999
NEWARK     120517 300  001500-002000   00      96.25 1006.5     91.59    -0.70    -9999
NEWARK     120517 300  002000-002500   00      96.95 1006.5     92.28     0.00    -9999
NEWARK     120517 300  002500-003000   00      98.02 1006.5     93.30     1.10    -9999
NEWARK     120517 300  003000-003500   00      94.71 1006.6     90.18    -2.30    -9999
NEWARK     120517 300  003500-004000   00      96.70 1006.6     92.08    -0.20    -9999
NEWARK     120517 300  004000-004500   00      96.85 1006.6     92.24     0.00    -9999
NEWARK     120517 300  004500-005000   00      97.04 1006.6     92.42     0.20    -9999
NEWARK     120517 300  005000-005500   00      97.23 1006.7     92.65     0.40    -9999
NEWARK     120517 300  005500-010000   00      96.62 1006.7     92.11    -0.20    -9999
NEWARK     120517 300  010000-010500   00      96.31 1006.8     91.86    -0.40    -9999
NEWARK     120517 300  010500-011000   00      95.98 1006.8     91.57    -0.70    -9999
NEWARK     120517 300  011000-011500   00      97.11 1006.9     92.66     0.40    -9999
NEWARK     120517 300  011500-012000   00      97.15 1006.9     92.73     0.50    -9999
NEWARK     120517 300  012000-012500   00      96.57 1007.0     92.21    -0.10    -9999
NEWARK     120517 300  012500-013000   00      95.90 1007.0     91.61    -0.70    -9999
NEWARK     120517 300  013000-013500   00      96.32 1007.0     92.02    -0.30    -9999
NEWARK     120517 300  013500-014000   00      96.23 1007.1     91.97    -0.30    -9999
NEWARK     120517 300  014000-014500   00      96.39 1007.1     92.16    -0.10    -9999
NEWARK     120517 300  014500-015000   00      94.50 1007.2     90.38    -2.00    -9999
NEWARK     120517 300  015000-015500   00      95.74 1007.2     91.55    -0.80    -9999
NEWARK     120517 300  015500-020000   00      97.11 1007.1     92.82     0.60    -9999
NEWARK     120517 300  020000-020500   00      97.89 1007.1     93.54     1.40    -9999
NEWARK     120517 300  020500-021000   00      97.98 1007.2     93.72     1.60    -9999
NEWARK     120517 300  021000-021500   00      96.70 1007.3     92.56     0.30    -9999
NEWARK     120517 300  021500-022000   00      97.77 1007.3     93.60     1.50    -9999
NEWARK     120517 300  022000-022500   00      96.21 1007.3     92.11    -0.20    -9999
NEWARK     120517 300  022500-023000   00      98.25 1007.3     94.06     2.00    -9999
NEWARK     120517 300  023000-023500   00      95.59 1007.3     91.50    -0.80    -9999
NEWARK     120517 300  023500-024000   00      97.89 1007.3     93.70     1.60    -9999
NEWARK     120517 300  024000-024500   00      96.60 1007.3     92.43     0.20    -9999
NEWARK     120517 300  024500-025000   00      96.37 1007.3     92.24     0.00    -9999
NEWARK     120517 300  025000-025500   00      95.89 1007.4     91.82    -0.50    -9999
NEWARK     120517 300  025500-030000   00      95.54 1007.4     91.49    -0.80    -9999
NEWARK     120517 300  030000-030500   00      97.03 1007.3     92.88     0.70    -9999
NEWARK     120517 300  030500-031000   00      96.94 1007.3     92.77     0.60    -9999
NEWARK     120517 300  031000-031500   00      96.62 1007.3     92.49     0.20    -9999
NEWARK     120517 300  031500-032000   00      96.76 1007.3     92.63     0.40    -9999
NEWARK     120517 300  032000-032500   00      95.62 1007.3     91.56    -0.80    -9999
NEWARK     120517 300  032500-033000   00      96.60 1007.3     92.47     0.20    -9999
NEWARK     120517 300  033000-033500   00      97.37 1007.4     93.26     1.10    -9999
NEWARK     120517 300  033500-034000   00      96.63 1007.7     92.76     0.50    -9999
NEWARK     120517 300  034000-034500   00      96.98 1007.8     93.17     1.00    -9999
NEWARK     120517 300  034500-035000   00      97.13 1007.9     93.38     1.20    -9999
NEWARK     120517 300  035000-035500   00      94.66 1007.9     91.04    -1.30    -9999
NEWARK     120517 300  035500-040000   00      95.93 1008.0     92.29     0.00    -9999
NEWARK     120517 300  040000-040500   00      95.77 1007.9     92.10    -0.20    -9999
NEWARK     120517 300  040500-041000   00      94.56 1007.9     90.89    -1.50    -9999
NEWARK     120517 300  041000-041500   00      95.00 1007.9     91.30    -1.00    -9999
NEWARK     120517 300  041500-042000   00      95.77 1007.9     92.04    -0.20    -9999
NEWARK     120517 300  042000-042500   00      96.05 1008.0     92.38     0.10    -9999
NEWARK     120517 300  042500-043000   00      95.40 1008.0     91.76    -0.50    -9999
NEWARK     120517 300  043000-043500   00      95.16 1008.0     91.57    -0.70    -9999
NEWARK     120517 300  043500-044000   00      96.03 1008.1     92.45     0.20    -9999
NEWARK     120517 300  044000-044500   00      95.69 1008.2     92.17    -0.10    -9999
NEWARK     120517 300  044500-045000   00      95.27 1008.2     91.82    -0.50    -9999
NEWARK     120517 300  045000-045500   00      93.63 1008.3     90.25    -2.20    -9999
NEWARK     120517 300  045500-050000   00      94.15 1008.2     90.73    -1.70    -9999
NEWARK     120517 300  050000-050500   00      96.24 1008.1     92.69     0.50    -9999
NEWARK     120517 300  050500-051000   00      95.51 1008.1     91.99    -0.30    -9999
NEWARK     120517 300  051000-051500   00      95.23 1008.2     91.73    -0.60    -9999
NEWARK     120517 300  051500-052000   00      96.64 1008.2     93.09     0.90    -9999
NEWARK     120517 300  052000-052500   00      95.01 1008.1     91.51    -0.80    -9999
NEWARK     120517 300  052500-053000   00      96.40 1008.1     92.83     0.60    -9999
NEWARK     120517 300  053000-053500   00      94.37 1008.1     90.88    -1.50    -9999
NEWARK     120517 300  053500-054000   00      94.59 1008.2     91.13    -1.20    -9999
NEWARK     120517 300  054000-054500   00      94.80 1008.3     91.40    -0.90    -9999
NEWARK     120517 300  054500-055000   00      96.09 1008.3     92.66     0.40    -9999
NEWARK     120517 300  055000-055500   00      95.33 1008.3     91.92    -0.40    -9999
NEWARK     120517 300  055500-060000   00      94.96 1008.4     91.61    -0.70    -9999
NEWARK     120517 300  060000-060500   00      94.87 1008.4     91.54    -0.80    -9999
NEWARK     120517 300  060500-061000   00      95.36 1008.4     92.02    -0.30    -9999
NEWARK     120517 300  061000-061500   00      94.90 1008.3     91.54    -0.80    -9999
NEWARK     120517 300  061500-062000   00      94.93 1008.4     91.59    -0.70    -9999
NEWARK     120517 300  062000-062500   00      95.97 1008.4     92.62     0.40    -9999
NEWARK     120517 300  062500-063000   00      94.79 1008.4     91.50    -0.80    -9999
NEWARK     120517 300  063000-063500   00      95.62 1008.5     92.31     0.10    -9999
NEWARK     120517 300  063500-064000   00      95.39 1008.4     92.05    -0.20    -9999
NEWARK     120517 300  064000-064500   00      95.49 1008.4     92.13    -0.10    -9999
NEWARK     120517 300  064500-065000   00      95.14 1008.4     91.79    -0.50    -9999
NEWARK     120517 300  065000-065500   00      97.55 1008.4     94.13     2.00    -9999
NEWARK     120517 300  065500-070000   00      95.72 1008.5     92.40     0.20    -9999
NEWARK     120517 300  070000-070500   00      95.39 1008.5     92.14    -0.10    -9999
NEWARK     120517 300  070500-071000   00      95.06 1008.6     91.87    -0.40    -9999
NEWARK     120517 300  071000-071500   00      96.30 1008.7     93.12     0.90    -9999
NEWARK     120517 300  071500-072000   00      94.80 1008.7     91.70    -0.60    -9999
NEWARK     120517 300  072000-072500   00      95.04 1008.7     91.92    -0.40    -9999
NEWARK     120517 300  072500-073000   00      96.34 1008.7     93.19     1.00    -9999
NEWARK     120517 300  073000-073500   00      95.98 1008.8     92.88     0.70    -9999
NEWARK     120517 300  073500-074000   00      94.67 1008.8     91.60    -0.70    -9999
NEWARK     120517 300  074000-074500   00      94.15 1008.8     91.13    -1.20    -9999
NEWARK     120517 300  074500-075000   00      93.66 1008.9     90.71    -1.70    -9999
NEWARK     120517 300  075000-075500   00      95.96 1009.0     92.99     0.80    -9999
NEWARK     120517 300  075500-080000   00      95.31 1009.0     92.38     0.10    -9999
NEWARK     120517 300  080000-080500   00      95.01 1009.1     92.15    -0.10    -9999
NEWARK     120517 300  080500-081000   00      94.95 1009.2     92.18    -0.10    -9999
NEWARK     120517 300  081000-081500   00      94.97 1009.2     92.21    -0.10    -9999
NEWARK     120517 300  081500-082000   00      94.04 1009.3     91.36    -1.00    -9999
NEWARK     120517 300  082000-082500   00      95.81 1009.4     93.12     0.90    -9999
NEWARK     120517 300  082500-083000   00      94.37 1009.4     91.73    -0.60    -9999
NEWARK     120517 300  083000-083500   00      96.52 1009.5     93.86     1.70    -9999
NEWARK     120517 300  083500-084000   00      96.19 1009.5     93.59     1.40    -9999
NEWARK     120517 300  084000-084500   00      95.03 1009.6     92.52     0.30    -9999
NEWARK     120517 300  084500-085000   00      95.30 1009.7     92.82     0.60    -9999
NEWARK     120517 300  085000-085500   00      93.02 1009.8     90.67    -1.70    -9999
NEWARK     120517 300  085500-090000   00      96.13 1009.9     93.79     1.70    -9999
NEWARK     120517 300  090000-090500   00      94.36 1010.0     92.15    -0.10    -9999
NEWARK     120517 300  090500-091000   00      94.30 1010.2     92.18    -0.10    -9999
NEWARK     120517 300  091000-091500   00      92.93 1010.3     90.94    -1.40    -9999
NEWARK     120517 300  091500-092000   00      93.43 1010.4     91.50    -0.80    -9999
NEWARK     120517 300  092000-092500   00      94.23 1010.6     92.37     0.10    -9999
NEWARK     120517 300  092500-093000   00      94.63 1010.6     92.83     0.60    -9999
NEWARK     120517 300  093000-093500   00      92.78 1010.7     91.06    -1.30    -9999
NEWARK     120517 300  093500-094000   00      94.30 1010.9     92.66     0.40    -9999
NEWARK     120517 300  094000-094500   00      93.95 1010.9     92.35     0.10    -9999
NEWARK     120517 300  094500-095000   00      94.67 1011.0     93.12     0.90    -9999
NEWARK     120517 300  095000-095500   00      93.12 1011.1     91.66    -0.70    -9999
NEWARK     120517 300  095500-100000   00      94.00 1011.2     92.60     0.40    -9999
NEWARK     120517 300  100000-100500   00      92.53 1011.3     91.23    -1.10    -9999
NEWARK     120517 300  100500-101000   00      93.52 1011.4     92.22     0.00    -9999
NEWARK     120517 300  101000-101500   00      93.47 1011.5     92.24     0.00    -9999
NEWARK     120517 300  101500-102000   00      93.61 1011.6     92.47     0.20    -9999
NEWARK     120517 300  102000-102500   00      93.92 1011.7     92.88     0.70    -9999
