OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.74     % / mb
OULU       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE    106.54      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OULU       120516 3600 000000-010000   00      95.53 1014.7    106.70     0.20    -9999
OULU       120516 3600 010000-020000   00      94.91 1014.9    106.16    -0.40    -9999
OULU       120516 3600 020000-030000   00      94.95 1015.2    106.48    -0.10    -9999
OULU       120516 3600 030000-040000   00      94.89 1015.5    106.63     0.10    -9999
OULU       120516 3600 040000-050000   00      95.23 1015.7    107.15     0.60    -9999
OULU       120516 3600 050000-060000   00      94.60 1016.0    106.70     0.20    -9999
OULU       120516 3600 060000-070000   00      93.94 1016.3    106.20    -0.30    -9999
OULU       120516 3600 070000-080000   00      93.77 1016.5    106.15    -0.40    -9999
OULU       120516 3600 080000-090000   00      94.47 1016.7    107.11     0.50    -9999
OULU       120516 3600 090000-100000   00      94.66 1016.7    107.35     0.80    -9999
OULU       120516 3600 100000-110000   00      94.02 1016.7    106.56     0.00    -9999
OULU       120516 3600 110000-120000   00      94.60 1016.5    107.12     0.50    -9999
OULU       120516 3600 120000-130000   00      94.73 1016.3    107.10     0.50    -9999
OULU       120516 3600 130000-140000   00      94.88 1016.1    107.12     0.50    -9999
OULU       120516 3600 140000-150000   00      95.25 1015.7    107.16     0.60    -9999
OULU       120516 3600 150000-160000   00      94.99 1015.2    106.46    -0.10    -9999
OULU       120516 3600 160000-170000   00      94.76 1014.9    106.01    -0.50    -9999
