PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  mb     COEFFICIENT   -0.75     % / mb
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    215.15      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
PEAWANUCK  120516 3600 000000-010000   00     224.31 1007.3    214.48    -0.30    -9999
PEAWANUCK  120516 3600 010000-020000   00     224.05 1007.5    214.58    -0.30    -9999
PEAWANUCK  120516 3600 020000-030000   00     222.90 1007.7    213.85    -0.60    -9999
PEAWANUCK  120516 3600 030000-040000   00     223.50 1007.8    214.50    -0.30    -9999
PEAWANUCK  120516 3600 040000-050000   00     223.54 1007.8    214.56    -0.30    -9999
PEAWANUCK  120516 3600 050000-060000   00     224.04 1007.8    215.03    -0.10    -9999
PEAWANUCK  120516 3600 060000-070000   00     223.86 1007.9    214.98    -0.10    -9999
PEAWANUCK  120516 3600 070000-080000   00     224.80 1007.9    215.96     0.40    -9999
PEAWANUCK  120516 3600 080000-090000   00     224.07 1007.9    215.29     0.10    -9999
PEAWANUCK  120516 3600 090000-100000   00     224.82 1008.1    216.24     0.50    -9999
PEAWANUCK  120516 3600 100000-110000   00     224.22 1008.4    216.24     0.50    -9999
PEAWANUCK  120516 3600 110000-120000   00     223.27 1008.9    216.10     0.40    -9999
PEAWANUCK  120516 3600 120000-130000   00     222.20 1009.3    215.69     0.30    -9999
PEAWANUCK  120516 3600 130000-140000   00     222.59 1009.4    216.30     0.50    -9999
PEAWANUCK  120516 3600 140000-150000   00     223.96 1009.5    217.72     1.20    -9999
PEAWANUCK  120516 3600 150000-160000   00     222.72 1009.9    217.12     0.90    -9999
PEAWANUCK  120516 3600 160000-170000   00     222.39 1010.1    217.21     1.00    -9999
PEAWANUCK  120516 3600 170000-180000   00     221.56 1010.4    216.94     0.80    -9999
PEAWANUCK  120516 3600 180000-190000   00     220.66 1010.9    216.75     0.70    -9999
PEAWANUCK  120516 3600 190000-200000   00     220.71 1011.1    217.23     1.00    -9999
PEAWANUCK  120516 3600 200000-210000   00     218.92 1011.4    215.94     0.40    -9999
PEAWANUCK  120516 300  210000-210500   00     221.46 1011.5    218.59     1.60    -9999
PEAWANUCK  120516 300  210500-211000   00     220.62 1011.5    217.76     1.20    -9999
PEAWANUCK  120516 300  211000-211500   00     219.26 1011.5    216.46     0.60    -9999
PEAWANUCK  120516 300  211500-212000   00     219.71 1011.6    216.97     0.80    -9999
PEAWANUCK  120516 300  212000-212500   00     221.09 1011.7    218.51     1.60    -9999
PEAWANUCK  120516 300  212500-213000   00     218.34 1011.7    215.88     0.30    -9999
PEAWANUCK  120516 300  213000-213500   00     218.21 1011.8    215.81     0.30    -9999
PEAWANUCK  120516 300  213500-214000   00     218.32 1011.8    215.97     0.40    -9999
PEAWANUCK  120516 300  214000-214500   00     218.29 1011.8    215.91     0.40    -9999
PEAWANUCK  120516 300  214500-215000   00     220.84 1011.8    218.45     1.50    -9999
PEAWANUCK  120516 300  215000-215500   00     217.04 1011.9    214.78    -0.20    -9999
PEAWANUCK  120516 300  215500-220000   00     217.47 1011.9    215.26     0.10    -9999
PEAWANUCK  120516 300  220000-220500   00     220.69 1011.9    218.45     1.50    -9999
PEAWANUCK  120516 300  220500-221000   00     217.80 1011.9    215.58     0.20    -9999
PEAWANUCK  120516 300  221000-221500   00     218.56 1011.9    216.35     0.60    -9999
PEAWANUCK  120516 300  221500-222000   00     218.23 1011.9    216.10     0.40    -9999
PEAWANUCK  120516 300  222000-222500   00     217.19 1012.0    215.14     0.00    -9999
PEAWANUCK  120516 300  222500-223000   00     217.11 1012.0    215.00    -0.10    -9999
PEAWANUCK  120516 300  223000-223500   00     215.92 1012.0    213.87    -0.60    -9999
PEAWANUCK  120516 300  223500-224000   00     217.57 1012.0    215.53     0.20    -9999
PEAWANUCK  120516 300  224000-224500   00     218.59 1012.0    216.55     0.70    -9999
PEAWANUCK  120516 300  224500-225000   00     218.34 1012.0    216.36     0.60    -9999
PEAWANUCK  120516 300  225000-225500   00     220.87 1012.1    218.89     1.70    -9999
PEAWANUCK  120516 300  225500-230000   00     213.77 1012.1    211.89    -1.50    -9999
PEAWANUCK  120516 300  230000-230500   00     217.27 1012.1    215.43     0.10    -9999
PEAWANUCK  120516 300  230500-231000   00     216.47 1012.1    214.69    -0.20    -9999
PEAWANUCK  120516 300  231000-231500   00     214.24 1012.2    212.56    -1.20    -9999
PEAWANUCK  120516 300  231500-232000   00     220.95 1012.2    219.21     1.90    -9999
PEAWANUCK  120516 300  232000-232500   00     214.25 1012.2    212.60    -1.20    -9999
PEAWANUCK  120516 300  232500-233000   00     218.57 1012.2    216.92     0.80    -9999
PEAWANUCK  120516 300  233000-233500   00     219.05 1012.2    217.37     1.00    -9999
PEAWANUCK  120516 300  233500-234000   00     213.45 1012.2    211.83    -1.50    -9999
PEAWANUCK  120516 300  234000-234500   00     216.29 1012.3    214.69    -0.20    -9999
PEAWANUCK  120516 300  234500-235000   00     215.59 1012.3    213.98    -0.50    -9999
PEAWANUCK  120516 300  235000-235500   00     216.03 1012.3    214.44    -0.30    -9999
PEAWANUCK  120516 300  235500-240000   00     214.38 1012.3    212.83    -1.10    -9999
PEAWANUCK  120517 300  000000-000500   00     218.24 1012.3    216.71     0.70    -9999
PEAWANUCK  120517 300  000500-001000   00     218.66 1012.3    217.14     0.90    -9999
PEAWANUCK  120517 300  001000-001500   00     217.06 1012.4    215.60     0.20    -9999
PEAWANUCK  120517 300  001500-002000   00     215.69 1012.3    214.22    -0.40    -9999
PEAWANUCK  120517 300  002000-002500   00     214.85 1012.3    213.36    -0.80    -9999
PEAWANUCK  120517 300  002500-003000   00     218.69 1012.3    217.14     0.90    -9999
PEAWANUCK  120517 300  003000-003500   00     217.50 1012.3    216.02     0.40    -9999
PEAWANUCK  120517 300  003500-004000   00     220.44 1012.4    219.02     1.80    -9999
PEAWANUCK  120517 300  004000-004500   00     215.99 1012.4    214.57    -0.30    -9999
PEAWANUCK  120517 300  004500-005000   00     214.70 1012.4    213.35    -0.80    -9999
PEAWANUCK  120517 300  005000-005500   00     213.28 1012.4    211.96    -1.50    -9999
PEAWANUCK  120517 300  005500-010000   00     219.38 1012.4    217.96     1.30    -9999
PEAWANUCK  120517 300  010000-010500   00     219.26 1012.4    217.82     1.20     1.01
PEAWANUCK  120517 300  010500-011000   00     217.90 1012.4    216.53     0.60     0.40
PEAWANUCK  120517 300  011000-011500   00     216.81 1012.4    215.43     0.10    -0.12
PEAWANUCK  120517 300  011500-012000   00     216.85 1012.4    215.51     0.20    -0.03
PEAWANUCK  120517 300  012000-012500   00     218.62 1012.4    217.26     1.00     0.75
PEAWANUCK  120517 300  012500-013000   00     216.97 1012.4    215.55     0.20    -0.06
PEAWANUCK  120517 300  013000-013500   00     215.51 1012.4    214.13    -0.50    -0.78
PEAWANUCK  120517 300  013500-014000   00     217.79 1012.4    216.43     0.60     0.31
PEAWANUCK  120517 300  014000-014500   00     218.33 1012.5    217.04     0.90     0.59
PEAWANUCK  120517 300  014500-015000   00     216.59 1012.5    215.38     0.10    -0.22
PEAWANUCK  120517 300  015000-015500   00     217.19 1012.5    216.03     0.40     0.06
PEAWANUCK  120517 300  015500-020000   00     219.47 1012.5    218.29     1.50     1.15
PEAWANUCK  120517 300  020000-020500   00     218.48 1012.6    217.38     1.00     0.64
PEAWANUCK  120517 300  020500-021000   00     225.19 1012.6    224.14     4.20     3.82
PEAWANUCK  120517 300  021000-021500   00     218.17 1012.6    217.15     0.90     0.51
PEAWANUCK  120517 300  021500-022000   00     222.25 1012.6    221.22     2.80     2.40
PEAWANUCK  120517 300  022000-022500   00     223.83 1012.6    222.79     3.60     3.18
PEAWANUCK  120517 300  022500-023000   00     224.57 1012.6    223.56     3.90     3.47
PEAWANUCK  120517 300  023000-023500   00     226.04 1012.6    225.01     4.60     4.16
PEAWANUCK  120517 300  023500-024000   00     225.17 1012.6    224.05     4.10     3.64
PEAWANUCK  120517 300  024000-024500   00     221.71 1012.5    220.51     2.50     2.03
PEAWANUCK  120517 300  024500-025000   00     224.71 1012.5    223.46     3.90     3.42
PEAWANUCK  120517 300  025000-025500   00     220.15 1012.5    218.88     1.70     1.21
PEAWANUCK  120517 300  025500-030000   00     222.43 1012.4    221.02     2.70     2.20
PEAWANUCK  120517 300  030000-030500   00     224.15 1012.3    222.62     3.50     2.98
PEAWANUCK  120517 300  030500-031000   00     222.10 1012.3    220.47     2.50     1.97
PEAWANUCK  120517 300  031000-031500   00     222.67 1012.2    220.93     2.70     2.16
PEAWANUCK  120517 300  031500-032000   00     220.93 1012.2    219.16     1.90     1.35
PEAWANUCK  120517 300  032000-032500   00     223.74 1012.2    221.98     3.20     2.64
PEAWANUCK  120517 300  032500-033000   00     219.70 1012.2    218.05     1.30     0.73
PEAWANUCK  120517 300  033000-033500   00     219.51 1012.3    217.87     1.30     0.72
PEAWANUCK  120517 300  033500-034000   00     223.13 1012.3    221.56     3.00     2.41
PEAWANUCK  120517 300  034000-034500   00     221.04 1012.3    219.46     2.00     1.40
PEAWANUCK  120517 300  034500-035000   00     224.26 1012.3    222.62     3.50     2.89
PEAWANUCK  120517 300  035000-035500   00     219.90 1012.2    218.21     1.40     0.78
PEAWANUCK  120517 300  035500-040000   00     219.05 1012.2    217.35     1.00     0.37
PEAWANUCK  120517 300  040000-040500   00     225.36 1012.2    223.60     3.90     3.26
PEAWANUCK  120517 300  040500-041000   00     222.54 1012.2    220.84     2.60     1.95
PEAWANUCK  120517 300  041000-041500   00     222.26 1012.3    220.62     2.50     1.84
PEAWANUCK  120517 300  041500-042000   00     220.61 1012.3    218.98     1.80     1.13
PEAWANUCK  120517 300  042000-042500   00     219.70 1012.2    217.97     1.30     0.62
PEAWANUCK  120517 300  042500-043000   00     220.74 1012.2    218.95     1.80     1.11
PEAWANUCK  120517 300  043000-043500   00     220.29 1012.2    218.49     1.60     0.90
PEAWANUCK  120517 300  043500-044000   00     219.16 1012.2    217.40     1.00     0.29
PEAWANUCK  120517 300  044000-044500   00     219.30 1012.2    217.51     1.10     0.38
PEAWANUCK  120517 300  044500-045000   00     219.98 1012.1    218.13     1.40     0.68
PEAWANUCK  120517 300  045000-045500   00     221.23 1012.2    219.44     2.00     1.27
PEAWANUCK  120517 300  045500-050000   00     220.75 1012.2    219.06     1.80     1.06
PEAWANUCK  120517 300  050000-050500   00     219.94 1012.2    218.26     1.40     0.65
PEAWANUCK  120517 300  050500-051000   00     223.74 1012.2    222.04     3.20     2.45
PEAWANUCK  120517 300  051000-051500   00     216.45 1012.2    214.79    -0.20    -0.96
PEAWANUCK  120517 300  051500-052000   00     222.11 1012.2    220.38     2.40     1.63
PEAWANUCK  120517 300  052000-052500   00     218.91 1012.2    217.26     1.00     0.22
PEAWANUCK  120517 300  052500-053000   00     217.35 1012.3    215.79     0.30    -0.48
PEAWANUCK  120517 300  053000-053500   00     216.66 1012.3    215.12     0.00    -0.79
PEAWANUCK  120517 300  053500-054000   00     216.36 1012.3    214.85    -0.10    -0.90
PEAWANUCK  120517 300  054000-054500   00     216.30 1012.3    214.80    -0.20    -1.00
PEAWANUCK  120517 300  054500-055000   00     217.64 1012.3    216.11     0.40    -0.41
PEAWANUCK  120517 300  055000-055500   00     218.93 1012.3    217.33     1.00     0.19
PEAWANUCK  120517 300  055500-060000   00     221.08 1012.2    219.41     2.00     1.18
PEAWANUCK  120517 300  060000-060500   00     220.42 1012.2    218.76     1.70     0.87
PEAWANUCK  120517 300  060500-061000   00     218.46 1012.3    216.89     0.80    -0.03
PEAWANUCK  120517 300  061000-061500   00     212.76 1012.3    211.24    -1.80    -2.64
PEAWANUCK  120517 300  061500-062000   00     220.82 1012.2    219.15     1.90     1.06
PEAWANUCK  120517 300  062000-062500   00     217.32 1012.2    215.64     0.20    -0.65
PEAWANUCK  120517 300  062500-063000   00     219.93 1012.2    218.16     1.40     0.55
PEAWANUCK  120517 300  063000-063500   00     218.96 1012.2    217.25     1.00     0.14
PEAWANUCK  120517 300  063500-064000   00     218.26 1012.2    216.47     0.60    -0.26
PEAWANUCK  120517 300  064000-064500   00     221.80 1012.1    219.94     2.20     1.34
PEAWANUCK  120517 300  064500-065000   00     219.28 1012.2    217.49     1.10     0.23
PEAWANUCK  120517 300  065000-065500   00     217.65 1012.2    215.95     0.40    -0.47
PEAWANUCK  120517 300  065500-070000   00     216.28 1012.2    214.61    -0.30    -1.18
PEAWANUCK  120517 300  070000-070500   00     214.87 1012.2    213.26    -0.90    -1.78
PEAWANUCK  120517 300  070500-071000   00     218.27 1012.3    216.67     0.70    -0.18
PEAWANUCK  120517 300  071000-071500   00     216.45 1012.3    214.89    -0.10    -0.99
PEAWANUCK  120517 300  071500-072000   00     219.90 1012.2    218.21     1.40     0.51
PEAWANUCK  120517 300  072000-072500   00     216.60 1012.2    214.89    -0.10    -0.99
PEAWANUCK  120517 300  072500-073000   00     216.01 1012.2    214.32    -0.40    -1.29
PEAWANUCK  120517 300  073000-073500   00     217.40 1012.3    215.79     0.30    -0.60
PEAWANUCK  120517 300  073500-074000   00     219.52 1012.2    217.81     1.20     0.30
PEAWANUCK  120517 300  074000-074500   00     223.55 1012.2    221.82     3.10     2.20
PEAWANUCK  120517 300  074500-075000   00     215.40 1012.2    213.75    -0.70    -1.60
PEAWANUCK  120517 300  075000-075500   00     220.17 1012.3    218.56     1.60     0.70
PEAWANUCK  120517 300  075500-080000   00     222.55 1012.3    221.01     2.70     1.79
PEAWANUCK  120517 300  080000-080500   00     220.20 1012.4    218.77     1.70     0.79
PEAWANUCK  120517 300  080500-081000   00     221.06 1012.5    219.74     2.10    -9999
PEAWANUCK  120517 300  081000-081500   00     214.13 1012.5    212.96    -1.00    -9999
PEAWANUCK  120517 300  081500-082000   00     219.37 1012.5    218.21     1.40    -9999
PEAWANUCK  120517 300  082000-082500   00     219.02 1012.5    217.82     1.20    -9999
PEAWANUCK  120517 300  082500-083000   00     215.89 1012.5    214.65    -0.20    -9999
PEAWANUCK  120517 300  083000-083500   00     221.27 1012.5    220.02     2.30    -9999
PEAWANUCK  120517 300  083500-084000   00     216.27 1012.4    214.91    -0.10    -9999
PEAWANUCK  120517 300  084000-084500   00     218.47 1012.3    216.87     0.80    -9999
PEAWANUCK  120517 300  084500-085000   00     222.68 1012.2    220.96     2.70    -9999
PEAWANUCK  120517 300  085000-085500   00     219.74 1012.2    218.04     1.30    -9999
PEAWANUCK  120517 300  085500-090000   00     218.96 1012.2    217.31     1.00    -9999
PEAWANUCK  120517 300  090000-090500   00     217.76 1012.3    216.19     0.50    -9999
PEAWANUCK  120517 300  090500-091000   00     218.71 1012.4    217.29     1.00    -9999
PEAWANUCK  120517 300  091000-091500   00     216.92 1012.4    215.54     0.20    -9999
PEAWANUCK  120517 300  091500-092000   00     219.80 1012.4    218.38     1.50    -9999
PEAWANUCK  120517 300  092000-092500   00     219.37 1012.4    218.03     1.30    -9999
PEAWANUCK  120517 300  092500-093000   00     217.76 1012.4    216.40     0.60    -9999
PEAWANUCK  120517 300  093000-093500   00     217.96 1012.4    216.65     0.70    -9999
PEAWANUCK  120517 300  093500-094000   00     221.79 1012.5    220.56     2.50    -9999
PEAWANUCK  120517 300  094000-094500   00     214.78 1012.5    213.64    -0.70    -9999
PEAWANUCK  120517 300  094500-095000   00     218.47 1012.5    217.26     1.00    -9999
PEAWANUCK  120517 300  095000-095500   00     219.41 1012.5    218.17     1.40    -9999
PEAWANUCK  120517 300  095500-100000   00     216.80 1012.5    215.54     0.20    -9999
PEAWANUCK  120517 300  100000-100500   00     220.09 1012.5    218.78     1.70    -9999
PEAWANUCK  120517 300  100500-101000   00     218.90 1012.4    217.57     1.10    -9999
PEAWANUCK  120517 300  101000-101500   00     218.98 1012.5    217.71     1.20    -9999
PEAWANUCK  120517 300  101500-102000   00     215.40 1012.5    214.21    -0.40    -9999
PEAWANUCK  120517 300  102000-102500   00     217.07 1012.6    215.96     0.40    -9999
PEAWANUCK  120517 300  102500-103000   00     219.06 1012.6    217.95     1.30    -9999
PEAWANUCK  120517 300  103000-103500   00     221.20 1012.5    220.01     2.30    -9999
PEAWANUCK  120517 300  103500-104000   00     217.71 1012.5    216.52     0.60    -9999
PEAWANUCK  120517 300  104000-104500   00     221.04 1012.5    219.85     2.20    -9999
PEAWANUCK  120517 300  104500-105000   00     217.26 1012.6    216.15     0.50    -9999
PEAWANUCK  120517 300  105000-105500   00     218.92 1012.6    217.87     1.30    -9999
PEAWANUCK  120517 300  105500-110000   00     219.74 1012.7    218.75     1.70    -9999
PEAWANUCK  120517 300  110000-110500   00     217.64 1012.6    216.66     0.70    -9999
PEAWANUCK  120517 300  110500-111000   00     218.95 1012.7    218.00     1.30    -9999
PEAWANUCK  120517 300  111000-111500   00     216.78 1012.7    215.86     0.30    -9999
PEAWANUCK  120517 300  111500-112000   00     220.33 1012.7    219.39     2.00    -9999
PEAWANUCK  120517 300  112000-112500   00     214.59 1012.7    213.66    -0.70    -9999
PEAWANUCK  120517 300  112500-113000   00     216.51 1012.6    215.50     0.20    -9999
PEAWANUCK  120517 300  113000-113500   00     218.77 1012.6    217.70     1.20    -9999
PEAWANUCK  120517 300  113500-114000   00     217.82 1012.6    216.69     0.70    -9999
PEAWANUCK  120517 300  114000-114500   00     216.47 1012.5    215.33     0.10    -9999
PEAWANUCK  120517 300  114500-115000   00     218.20 1012.5    216.99     0.90    -9999
PEAWANUCK  120517 300  115000-115500   00     217.50 1012.5    216.35     0.60    -9999
PEAWANUCK  120517 300  115500-120000   00     216.31 1012.5    215.15     0.00    -9999
PEAWANUCK  120517 300  120000-120500   00     218.99 1012.6    217.96     1.30    -9999
PEAWANUCK  120517 300  120500-121000   00     218.05 1012.7    217.12     0.90    -9999
PEAWANUCK  120517 300  121000-121500   00     220.07 1012.7    219.16     1.90    -9999
PEAWANUCK  120517 300  121500-122000   00     221.86 1012.8    221.04     2.70    -9999
PEAWANUCK  120517 300  122000-122500   00     215.29 1012.8    214.52    -0.30    -9999
PEAWANUCK  120517 300  122500-123000   00     214.65 1012.8    213.94    -0.60    -9999
PEAWANUCK  120517 300  123000-123500   00     216.22 1012.8    215.55     0.20    -9999
PEAWANUCK  120517 300  123500-124000   00     218.81 1012.9    218.22     1.40    -9999
