SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    301.39      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 120516 3600 000000-010000   00     288.66  684.9    299.40    -0.70    -9999
SOUTH POLE 120516 3600 010000-020000   00     289.81  684.6    299.95    -0.50    -9999
SOUTH POLE 120516 3600 020000-030000   00     289.70  684.5    299.58    -0.60    -9999
SOUTH POLE 120516 3600 030000-040000   00     290.24  684.5    300.20    -0.40    -9999
SOUTH POLE 120516 3600 040000-050000   00     289.85  684.5    299.83    -0.50    -9999
SOUTH POLE 120516 3600 050000-060000   00     289.67  684.4    299.31    -0.70    -9999
SOUTH POLE 120516 3600 060000-070000   00     290.53  684.5    300.49    -0.30    -9999
SOUTH POLE 120516 3600 070000-080000   00     290.56  684.5    300.59    -0.30    -9999
SOUTH POLE 120516 3600 080000-090000   00     290.51  684.6    300.60    -0.30    -9999
SOUTH POLE 120516 3600 090000-100000   00     289.86  684.9    300.67    -0.20    -9999
SOUTH POLE 120516 3600 100000-110000   00     289.92  684.9    300.83    -0.20    -9999
SOUTH POLE 120516 3600 110000-120000   00     290.62  684.9    301.53     0.00    -9999
SOUTH POLE 120516 3600 120000-130000   00     290.95  684.9    301.77     0.10    -9999
SOUTH POLE 120516 3600 130000-140000   00     290.38  684.9    301.31     0.00    -9999
SOUTH POLE 120516 3600 140000-150000   00     292.01  684.9    302.98     0.50    -9999
SOUTH POLE 120516 3600 150000-160000   00     290.81  685.1    302.13     0.20    -9999
SOUTH POLE 120516 3600 160000-170000   00     291.58  685.2    303.09     0.60    -9999
SOUTH POLE 120516 3600 170000-180000   00     289.16  685.3    300.81    -0.20    -9999
SOUTH POLE 120516 3600 180000-190000   00     289.85  685.3    301.54     0.00    -9999
SOUTH POLE 120516 3600 190000-200000   00     288.60  685.3    300.36    -0.30    -9999
SOUTH POLE 120516 3600 200000-210000   00     288.28  685.3    299.84    -0.50    -9999
SOUTH POLE 120516 300  210000-210500   00     285.21  685.3    296.71    -1.60    -9999
SOUTH POLE 120516 300  210500-211000   00     286.52  685.3    298.13    -1.10    -9999
SOUTH POLE 120516 300  211000-211500   00     289.35  685.3    301.08    -0.10    -9999
SOUTH POLE 120516 300  211500-212000   00     288.29  685.3    299.92    -0.50    -9999
SOUTH POLE 120516 300  212000-212500   00     286.48  685.2    297.95    -1.10    -9999
SOUTH POLE 120516 300  212500-213000   00     286.63  685.2    298.04    -1.10    -9999
SOUTH POLE 120516 300  213000-213500   00     289.00  685.2    300.53    -0.30    -9999
SOUTH POLE 120516 300  213500-214000   00     289.94  685.2    301.49     0.00    -9999
SOUTH POLE 120516 300  214000-214500   00     286.54  685.2    297.99    -1.10    -9999
SOUTH POLE 120516 300  214500-215000   00     288.35  685.2    299.81    -0.50    -9999
SOUTH POLE 120516 300  215000-215500   00     290.33  685.2    301.77     0.10    -9999
SOUTH POLE 120516 300  215500-220000   00     287.37  685.2    298.73    -0.90    -9999
SOUTH POLE 120516 300  220000-220500   00     290.08  685.2    301.63     0.10    -9999
SOUTH POLE 120516 300  220500-221000   00     287.50  685.2    298.99    -0.80    -9999
SOUTH POLE 120516 300  221000-221500   00     290.78  685.2    302.40     0.30    -9999
SOUTH POLE 120516 300  221500-222000   00     290.06  685.2    301.54     0.00    -9999
SOUTH POLE 120516 300  222000-222500   00     290.29  685.2    301.69     0.10    -9999
