TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.7425   % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.32      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 120516 3600 000000-010000   00     110.96  992.2    115.69    -0.50    -9999
TERREADELI 120516 3600 010000-020000   00     111.44  991.7    115.77    -0.50    -9999
TERREADELI 120516 3600 020000-030000   00     112.27  991.0    116.05    -0.20    -9999
TERREADELI 120516 3600 030000-040000   00     112.86  990.6    116.26    -0.10    -9999
TERREADELI 120516 3600 040000-050000   00     112.82  990.2    115.89    -0.40    -9999
TERREADELI 120516 3600 050000-060000   00     113.65  989.9    116.53     0.20    -9999
TERREADELI 120516 3600 060000-070000   00     113.13  990.0    116.03    -0.20    -9999
TERREADELI 120516 3600 070000-080000   00     112.85  990.0    115.73    -0.50    -9999
TERREADELI 120516 3600 080000-090000   00     113.52  989.9    116.35     0.00    -9999
TERREADELI 120516 3600 090000-100000   00     113.42  990.0    116.31     0.00    -9999
TERREADELI 120516 3600 100000-110000   00     112.98  990.0    115.88    -0.40    -9999
TERREADELI 120516 3600 110000-120000   00     112.84  990.0    115.76    -0.50    -9999
TERREADELI 120516 3600 120000-130000   00     113.04  990.0    115.97    -0.30    -9999
TERREADELI 120516 3600 130000-140000   00     113.07  990.2    116.15    -0.10    -9999
TERREADELI 120516 3600 140000-150000   00     113.01  990.1    115.97    -0.30    -9999
TERREADELI 120516 3600 150000-160000   00     113.01  989.9    115.83    -0.40    -9999
TERREADELI 120516 3600 160000-170000   00     113.26  989.9    116.05    -0.20    -9999
TERREADELI 120516 3600 170000-180000   00     113.33  989.7    115.95    -0.30    -9999
TERREADELI 120516 3600 180000-190000   00     113.52  989.6    116.08    -0.20    -9999
TERREADELI 120516 3600 190000-200000   00     114.05  989.7    116.76     0.40    -9999
