THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    990.85  MB     COEFFICIENT   -0.74     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    122.35      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      120516 3600 000000-010000   00     116.67 1010.5    121.31    -0.90    -9999
THULE      120516 3600 010000-020000   00     116.16 1010.7    120.97    -1.10    -9999
THULE      120516 3600 020000-030000   00     116.68 1010.8    121.60    -0.60    -9999
THULE      120516 3600 030000-040000   00     116.45 1011.0    121.53    -0.70    -9999
THULE      120516 3600 040000-050000   00     116.56 1011.1    121.77    -0.50    -9999
THULE      120516 3600 050000-060000   00     116.58 1011.4    122.01    -0.30    -9999
THULE      120516 3600 060000-070000   00     116.11 1011.7    121.81    -0.40    -9999
THULE      120516 3600 070000-080000   00     115.96 1011.9    121.86    -0.40    -9999
THULE      120516 3600 080000-090000   00     116.07 1012.1    122.16    -0.20    -9999
THULE      120516 3600 090000-100000   00     116.06 1012.3    122.33     0.00    -9999
THULE      120516 3600 100000-110000   00     115.93 1012.4    122.27    -0.10    -9999
THULE      120516 3600 110000-120000   00     116.04 1012.4    122.39     0.00    -9999
THULE      120516 3600 120000-130000   00     116.33 1012.3    122.54     0.20    -9999
THULE      120516 3600 130000-140000   00     116.66 1012.0    122.65     0.20    -9999
THULE      120516 3600 140000-150000   00     116.57 1011.7    122.27    -0.10    -9999
THULE      120516 3600 150000-160000   00     117.59 1011.4    123.09     0.60    -9999
THULE      120516 3600 160000-170000   00     117.80 1011.1    123.06     0.60    -9999
THULE      120516 3600 170000-180000   00     117.77 1010.9    122.86     0.40    -9999
THULE      120516 3600 180000-190000   00     117.75 1010.9    122.76     0.30    -9999
THULE      120516 3600 190000-200000   00     117.38 1010.8    122.32     0.00    -9999
THULE      120516 3600 200000-210000   00     117.08 1011.0    122.22    -0.10    -9999
THULE      120516 300  210000-210500   00     116.89 1011.1    122.12    -0.20    -9999
THULE      120516 300  210500-211000   00     115.85 1011.2    121.04    -1.10    -9999
THULE      120516 300  211000-211500   00     116.45 1011.2    121.67    -0.60    -9999
THULE      120516 300  211500-212000   00     117.42 1011.1    122.67     0.30    -9999
THULE      120516 300  212000-212500   00     115.80 1011.1    120.97    -1.10    -9999
THULE      120516 300  212500-213000   00     116.83 1011.1    122.04    -0.30    -9999
THULE      120516 300  213000-213500   00     117.22 1011.1    122.45     0.10    -9999
THULE      120516 300  213500-214000   00     117.01 1011.1    122.21    -0.10    -9999
THULE      120516 300  214000-214500   00     117.53 1011.1    122.76     0.30    -9999
THULE      120516 300  214500-215000   00     115.89 1011.1    121.02    -1.10    -9999
THULE      120516 300  215000-215500   00     116.96 1011.1    122.13    -0.20    -9999
THULE      120516 300  215500-220000   00     116.46 1011.1    121.62    -0.60    -9999
THULE      120516 300  220000-220500   00     115.85 1011.1    120.97    -1.10    -9999
THULE      120516 300  220500-221000   00     117.04 1011.0    122.19    -0.10    -9999
THULE      120516 300  221000-221500   00     116.08 1011.0    121.16    -1.00    -9999
THULE      120516 300  221500-222000   00     117.61 1011.0    122.76     0.30    -9999
THULE      120516 300  222000-222500   00     115.99 1011.1    121.09    -1.00    -9999
THULE      120516 300  222500-223000   00     118.24 1011.0    123.44     0.90    -9999
THULE      120516 300  223000-223500   00     118.18 1011.0    123.36     0.80    -9999
THULE      120516 300  223500-224000   00     117.77 1011.0    122.92     0.50    -9999
THULE      120516 300  224000-224500   00     116.89 1011.0    121.99    -0.30    -9999
THULE      120516 300  224500-225000   00     116.14 1011.0    121.22    -0.90    -9999
THULE      120516 300  225000-225500   00     116.10 1011.0    121.18    -1.00    -9999
THULE      120516 300  225500-230000   00     116.69 1011.0    121.80    -0.40    -9999
THULE      120516 300  230000-230500   00     117.24 1011.1    122.41     0.00    -9999
THULE      120516 300  230500-231000   00     117.03 1011.1    122.21    -0.10    -9999
THULE      120516 300  231000-231500   00     116.45 1011.1    121.57    -0.60    -9999
THULE      120516 300  231500-232000   00     117.25 1011.0    122.38     0.00    -9999
THULE      120516 300  232000-232500   00     117.30 1011.0    122.41     0.00    -9999
THULE      120516 300  232500-233000   00     117.41 1011.0    122.53     0.10    -9999
THULE      120516 300  233000-233500   00     116.93 1011.0    122.01    -0.30    -9999
THULE      120516 300  233500-234000   00     117.30 1011.0    122.37     0.00    -9999
THULE      120516 300  234000-234500   00     116.82 1011.0    121.87    -0.40    -9999
THULE      120516 300  234500-235000   00     119.19 1011.0    124.35     1.60    -9999
THULE      120516 300  235000-235500   00     117.38 1011.0    122.48     0.10    -9999
THULE      120516 300  235500-240000   00     116.76 1011.0    121.83    -0.40    -9999
THULE      120517 300  000000-000500   00     117.80 1011.0    122.93     0.50    -9999
THULE      120517 300  000500-001000   00     115.53 1011.0    120.56    -1.50    -9999
THULE      120517 300  001000-001500   00     116.39 1010.9    121.40    -0.80    -9999
THULE      120517 300  001500-002000   00     117.95 1010.9    122.98     0.50    -9999
THULE      120517 300  002000-002500   00     117.56 1010.9    122.56     0.20    -9999
THULE      120517 300  002500-003000   00     117.54 1010.9    122.54     0.20    -9999
THULE      120517 300  003000-003500   00     117.53 1010.8    122.51     0.10    -9999
THULE      120517 300  003500-004000   00     118.72 1010.8    123.73     1.10    -9999
THULE      120517 300  004000-004500   00     116.50 1010.8    121.41    -0.80    -9999
THULE      120517 300  004500-005000   00     116.93 1010.8    121.83    -0.40    -9999
THULE      120517 300  005000-005500   00     118.22 1010.8    123.17     0.70    -9999
THULE      120517 300  005500-010000   00     117.50 1010.8    122.42     0.10    -9999
THULE      120517 300  010000-010500   00     117.93 1010.7    122.84     0.40     0.40
THULE      120517 300  010500-011000   00     117.96 1010.7    122.85     0.40     0.40
THULE      120517 300  011000-011500   00     117.55 1010.7    122.41     0.00     0.00
THULE      120517 300  011500-012000   00     116.63 1010.7    121.45    -0.70    -0.70
THULE      120517 300  012000-012500   00     116.96 1010.7    121.81    -0.40    -0.40
THULE      120517 300  012500-013000   00     118.17 1010.7    123.05     0.60     0.60
THULE      120517 300  013000-013500   00     118.80 1010.7    123.70     1.10     1.10
THULE      120517 300  013500-014000   00     118.13 1010.7    123.02     0.50     0.50
THULE      120517 300  014000-014500   00     119.09 1010.7    124.03     1.40     1.40
THULE      120517 300  014500-015000   00     116.60 1010.7    121.45    -0.70    -0.70
THULE      120517 300  015000-015500   00     118.32 1010.8    123.26     0.70     0.70
THULE      120517 300  015500-020000   00     117.38 1010.8    122.28    -0.10    -0.10
THULE      120517 300  020000-020500   00     118.78 1010.7    123.71     1.10     1.10
THULE      120517 300  020500-021000   00     119.69 1010.7    124.60     1.80     1.80
THULE      120517 300  021000-021500   00     122.27 1010.7    127.28     4.00     4.00
THULE      120517 300  021500-022000   00     121.01 1010.6    125.93     2.90     2.90
THULE      120517 300  022000-022500   00     122.80 1010.7    127.85     4.50     4.50
THULE      120517 300  022500-023000   00     120.35 1010.6    125.26     2.40     2.40
THULE      120517 300  023000-023500   00     121.78 1010.6    126.73     3.60     3.60
THULE      120517 300  023500-024000   00     122.33 1010.6    127.30     4.00     4.00
THULE      120517 300  024000-024500   00     120.97 1010.6    125.84     2.90     2.90
THULE      120517 300  024500-025000   00     122.11 1010.6    127.03     3.80     3.80
