TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     99.34      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  120516 3600 000000-010000   00     126.11  976.4     98.22    -1.10    -9999
TIXIE BAY  120516 3600 010000-020000   00     126.23  977.0     98.74    -0.60    -9999
TIXIE BAY  120516 3600 020000-030000   00     125.87  977.7     98.96    -0.40    -9999
TIXIE BAY  120516 3600 030000-040000   00     124.60  978.8     98.76    -0.60    -9999
TIXIE BAY  120516 3600 040000-050000   00     123.70  979.7     98.68    -0.70    -9999
TIXIE BAY  120516 3600 050000-060000   00     123.47  980.3     98.91    -0.40    -9999
TIXIE BAY  120516 3600 060000-070000   00     122.92  980.8     98.86    -0.50    -9999
TIXIE BAY  120516 3600 070000-080000   00     121.65  981.4     98.23    -1.10    -9999
TIXIE BAY  120516 3600 080000-090000   00     120.95  982.4     98.39    -1.00    -9999
TIXIE BAY  120516 3600 090000-100000   00     120.40  983.1     98.45    -0.90    -9999
TIXIE BAY  120516 3600 100000-110000   00     119.98  983.6     98.42    -0.90    -9999
TIXIE BAY  120516 3600 110000-120000   00     119.33  984.1     98.23    -1.10    -9999
TIXIE BAY  120516 3600 120000-130000   00     118.95  984.5     98.22    -1.10    -9999
TIXIE BAY  120516 3600 130000-140000   00     119.63  984.7     98.92    -0.40    -9999
TIXIE BAY  120516 3600 140000-150000   00     119.21  985.1     98.89    -0.50    -9999
TIXIE BAY  120516 3600 150000-160000   00     119.05  985.3     98.90    -0.40    -9999
TIXIE BAY  120516 3600 160000-170000   00     118.81  985.6     98.92    -0.40    -9999
TIXIE BAY  120516 3600 170000-180000   00     118.86  985.6     98.92    -0.40    -9999
TIXIE BAY  120516 3600 180000-190000   00     118.91  985.8     99.10    -0.20    -9999
TIXIE BAY  120516 3600 190000-200000   00     118.93  986.3     99.49     0.20    -9999
TIXIE BAY  120516 3600 200000-210000   00     118.03  986.8     99.05    -0.30    -9999
TIXIE BAY  120516 300  210000-210500   00     118.05  987.0     99.25    -0.10    -9999
TIXIE BAY  120516 300  210500-211000   00     115.79  987.1     97.36    -2.00    -9999
TIXIE BAY  120516 300  211000-211500   00     119.57  987.1    100.61     1.30    -9999
TIXIE BAY  120516 300  211500-212000   00     117.92  987.1     99.20    -0.10    -9999
TIXIE BAY  120516 300  212000-212500   00     118.93  987.2    100.16     0.80    -9999
TIXIE BAY  120516 300  212500-213000   00     118.53  987.3     99.87     0.50    -9999
TIXIE BAY  120516 300  213000-213500   00     117.49  987.3     98.99    -0.40    -9999
TIXIE BAY  120516 300  213500-214000   00     115.47  987.4     97.33    -2.00    -9999
TIXIE BAY  120516 300  214000-214500   00     116.91  987.4     98.61    -0.70    -9999
TIXIE BAY  120516 300  214500-215000   00     117.87  987.5     99.44     0.10    -9999
TIXIE BAY  120516 300  215000-215500   00     117.71  987.5     99.33     0.00    -9999
TIXIE BAY  120516 300  215500-220000   00     117.31  987.6     99.04    -0.30    -9999
TIXIE BAY  120516 300  220000-220500   00     117.20  987.6     98.99    -0.40    -9999
TIXIE BAY  120516 300  220500-221000   00     116.29  987.6     98.21    -1.10    -9999
TIXIE BAY  120516 300  221000-221500   00     117.44  987.7     99.17    -0.20    -9999
TIXIE BAY  120516 300  221500-222000   00     117.36  987.7     99.20    -0.10    -9999
TIXIE BAY  120516 300  222000-222500   00     117.63  987.7     99.39     0.10    -9999
TIXIE BAY  120516 300  222500-223000   00     116.77  987.7     98.72    -0.60    -9999
TIXIE BAY  120516 300  223000-223500   00     116.16  987.8     98.21    -1.10    -9999
TIXIE BAY  120516 300  223500-224000   00     117.01  987.8     98.93    -0.40    -9999
TIXIE BAY  120516 300  224000-224500   00     117.79  987.9     99.63     0.30    -9999
TIXIE BAY  120516 300  224500-225000   00     116.21  987.9     98.35    -1.00    -9999
TIXIE BAY  120516 300  225000-225500   00     117.07  987.9     99.09    -0.30    -9999
TIXIE BAY  120516 300  225500-230000   00     115.36  988.0     97.68    -1.70    -9999
TIXIE BAY  120516 300  230000-230500   00     116.16  988.0     98.37    -1.00    -9999
TIXIE BAY  120516 300  230500-231000   00     117.68  988.1     99.71     0.40    -9999
TIXIE BAY  120516 300  231000-231500   00     115.89  988.2     98.24    -1.10    -9999
TIXIE BAY  120516 300  231500-232000   00     117.63  988.2     99.79     0.50    -9999
TIXIE BAY  120516 300  232000-232500   00     118.13  988.2    100.16     0.80    -9999
TIXIE BAY  120516 300  232500-233000   00     116.93  988.2     99.17    -0.20    -9999
TIXIE BAY  120516 300  233000-233500   00     117.52  988.2     99.68     0.30    -9999
TIXIE BAY  120516 300  233500-234000   00     116.56  988.2     98.85    -0.50    -9999
TIXIE BAY  120516 300  234000-234500   00     115.63  988.2     98.05    -1.30    -9999
TIXIE BAY  120516 300  234500-235000   00     116.59  988.3     98.91    -0.40    -9999
TIXIE BAY  120516 300  235000-235500   00     117.71  988.3     99.89     0.60    -9999
TIXIE BAY  120516 300  235500-240000   00     117.28  988.3     99.55     0.20    -9999
TIXIE BAY  120517 300  000000-000500   00     117.31  988.3     99.57     0.20    -9999
TIXIE BAY  120517 300  000500-001000   00     117.55  988.3     99.79     0.50    -9999
TIXIE BAY  120517 300  001000-001500   00     118.32  988.4    100.45     1.10    -9999
TIXIE BAY  120517 300  001500-002000   00     116.56  988.4     99.01    -0.30    -9999
TIXIE BAY  120517 300  002000-002500   00     116.64  988.5     99.12    -0.20    -9999
TIXIE BAY  120517 300  002500-003000   00     116.40  988.5     98.93    -0.40    -9999
TIXIE BAY  120517 300  003000-003500   00     117.20  988.6     99.68     0.30    -9999
TIXIE BAY  120517 300  003500-004000   00     115.89  988.6     98.61    -0.70    -9999
TIXIE BAY  120517 300  004000-004500   00     116.83  988.7     99.47     0.10    -9999
TIXIE BAY  120517 300  004500-005000   00     118.37  988.8    100.77     1.40    -9999
TIXIE BAY  120517 300  005000-005500   00     115.95  988.8     98.75    -0.60    -9999
TIXIE BAY  120517 300  005500-010000   00     116.99  988.8     99.65     0.30    -9999
TIXIE BAY  120517 300  010000-010500   00     115.04  988.9     98.08    -1.30    -1.30
