ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     mb     COEFFICIENT   -0.72     % / mb
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,388.62      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ALMA-ATA-B 211027 3600 000000-010000   00    1275.51  681.6   1376.46    -0.88    -9999
ALMA-ATA-B 211027 3600 010000-020000   00    1280.20  681.6   1381.84    -0.49    -9999
ALMA-ATA-B 211027 3600 020000-030000   00    1287.12  681.8   1390.91     0.17    -9999
ALMA-ATA-B 211027 3600 030000-040000   00    1286.60  681.8   1390.81     0.16    -9999
ALMA-ATA-B 211027 3600 040000-050000   00    1286.23  681.8   1390.76     0.15    -9999
ALMA-ATA-B 211027 3600 050000-060000   00    1289.93  681.7   1393.52     0.35    -9999
ALMA-ATA-B 211027 3600 060000-070000   00    1288.00  681.5   1389.82     0.09    -9999
ALMA-ATA-B 211027 3600 070000-080000   00    1288.55  681.5   1389.59     0.07    -9999
ALMA-ATA-B 211027 3600 080000-090000   00    1288.06  681.3   1387.31    -0.09    -9999
ALMA-ATA-B 211027 3600 090000-100000   00    1283.99  681.3   1383.50    -0.37    -9999
ALMA-ATA-B 211027 3600 100000-110000   00    1281.71  681.6   1383.76    -0.35    -9999
ALMA-ATA-B 211027 3600 110000-120000   00    1279.18  681.8   1382.39    -0.45    -9999
ALMA-ATA-B 211027 3600 120000-130000   00    1275.68  682.1   1381.63    -0.50    -9999
ALMA-ATA-B 211027 3600 130000-140000   00    1271.81  682.4   1381.09    -0.54    -9999
ALMA-ATA-B 211027 3600 140000-150000   00    1268.99  682.6   1379.82    -0.63    -9999
ALMA-ATA-B 211027 3600 150000-160000   00    1266.88  682.6   1377.08    -0.83    -9999
ALMA-ATA-B 211027 3600 160000-170000   00    1270.58  682.3   1378.38    -0.74    -9999
ALMA-ATA-B 211027 3600 170000-180000   00    1275.01  681.9   1379.12    -0.68    -9999
ALMA-ATA-B 211027 3600 180000-190000   00    1280.09  681.5   1380.42    -0.59    -9999
ALMA-ATA-B 211027 3600 190000-200000   00    1283.52  681.3   1381.85    -0.49    -9999
ALMA-ATA-B 211027 3600 200000-210000   00    1282.39  681.1   1379.36    -0.67    -9999
ALMA-ATA-B 211027 3600 210000-220000   00    1289.44  680.9   1385.11    -0.25    -9999
ALMA-ATA-B 211027 3600 220000-230000   00    1295.17  680.7   1388.63     0.00    -9999
ALMA-ATA-B 211027 3600 230000-000000   00    1295.96  680.8   1390.89     0.16    -9999
ALMA-ATA-B 211028 3600 000000-010000   00    1296.22  680.9   1392.51     0.28    -9999
ALMA-ATA-B 211028 3600 010000-020000   00    1298.99  680.9   1394.82     0.45    -9999
ALMA-ATA-B 211028 3600 020000-030000   00    1301.43  681.0   1398.96     0.74    -9999
ALMA-ATA-B 211028 3600 030000-040000   00    1301.91  681.2   1401.31     0.91    -9999
ALMA-ATA-B 211028 3600 040000-050000   00    1310.22  681.1   1409.14     1.48    -9999
ALMA-ATA-B 211028 3600 050000-060000   00    1306.38  681.1   1404.82     1.17    -9999
ALMA-ATA-B 211028 3600 060000-070000   00    1299.38  681.3   1399.31     0.77    -9999
ALMA-ATA-B 211028 3600 070000-080000   00    1300.20  681.2   1399.58     0.79    -9999
ALMA-ATA-B 211028 3600 080000-090000   00    1302.43  680.8   1398.33     0.70    -9999
ALMA-ATA-B 211028 3600 090000-100000   00    1302.06  680.7   1396.60     0.57    -9999
ALMA-ATA-B 211028 3600 100000-110000   00    1302.75  680.9   1399.45     0.78    -9999
ALMA-ATA-B 211028 3600 110000-120000   00    1296.94  681.1   1394.76     0.44    -9999
ALMA-ATA-B 211028 300  120000-120500   00    1299.20  681.1   1397.32     0.63    -9999
ALMA-ATA-B 211028 300  120500-121000   00    1297.14  681.1   1395.40     0.49    -9999
ALMA-ATA-B 211028 300  121000-121500   00    1297.18  681.1   1395.38     0.49    -9999
ALMA-ATA-B 211028 300  121500-122000   00    1287.24  681.1   1384.90    -0.27    -9999
ALMA-ATA-B 211028 300  122000-122500   00    1291.40  681.2   1389.86     0.09    -9999
ALMA-ATA-B 211028 300  122500-123000   00    1289.88  681.2   1388.52    -0.01    -9999
ALMA-ATA-B 211028 300  123000-123500   00    1297.12  681.2   1396.18     0.54    -9999
ALMA-ATA-B 211028 300  123500-124000   00    1294.80  681.2   1393.58     0.36    -9999
ALMA-ATA-B 211028 300  124000-124500   00    1290.22  681.2   1388.60     0.00    -9999
ALMA-ATA-B 211028 300  124500-125000   00    1295.58  681.2   1394.44     0.42    -9999
ALMA-ATA-B 211028 300  125000-125500   00    1288.32  681.2   1386.94    -0.12    -9999
ALMA-ATA-B 211028 300  125500-130000   00    1293.32  681.2   1392.46     0.28    -9999
ALMA-ATA-B 211028 300  130000-130500   00    1292.70  681.2   1391.68     0.22    -9999
ALMA-ATA-B 211028 300  130500-131000   00    1299.32  681.2   1398.82     0.73    -9999
ALMA-ATA-B 211028 300  131000-131500   00    1280.50  681.2   1378.56    -0.72    -9999
ALMA-ATA-B 211028 300  131500-132000   00    1289.92  681.2   1388.80     0.01    -9999
ALMA-ATA-B 211028 300  132000-132500   00    1288.04  681.3   1386.96    -0.12    -9999
ALMA-ATA-B 211028 300  132500-133000   00    1286.96  681.3   1386.08    -0.18    -9999
ALMA-ATA-B 211028 300  133000-133500   00    1285.54  681.3   1384.88    -0.27    -9999
ALMA-ATA-B 211028 300  133500-134000   00    1282.78  681.4   1382.24    -0.46    -9999
ALMA-ATA-B 211028 300  134000-134500   00    1293.80  681.3   1394.12     0.40    -9999
ALMA-ATA-B 211028 300  134500-135000   00    1283.86  681.4   1383.52    -0.37    -9999
ALMA-ATA-B 211028 300  135000-135500   00    1287.08  681.3   1386.72    -0.14    -9999
ALMA-ATA-B 211028 300  135500-140000   00    1296.26  681.3   1396.74     0.58    -9999
ALMA-ATA-B 211028 300  140000-140500   00    1286.56  681.3   1386.22    -0.17    -9999
ALMA-ATA-B 211028 300  140500-141000   00    1295.24  681.4   1395.72     0.51    -9999
ALMA-ATA-B 211028 300  141000-141500   00    1287.80  681.3   1387.62    -0.07    -9999
ALMA-ATA-B 211028 300  141500-142000   00    1290.64  681.3   1390.56     0.14    -9999
ALMA-ATA-B 211028 300  142000-142500   00    1289.62  681.3   1389.10     0.03    -9999
ALMA-ATA-B 211028 300  142500-143000   00    1287.56  681.3   1386.56    -0.15    -9999
ALMA-ATA-B 211028 300  143000-143500   00    1289.24  681.3   1388.28    -0.02    -9999
ALMA-ATA-B 211028 300  143500-144000   00    1293.62  681.3   1392.94     0.31    -9999
ALMA-ATA-B 211028 300  144000-144500   00    1275.64  681.3   1373.54    -1.09    -9999
ALMA-ATA-B 211028 300  144500-145000   00    1294.06  681.2   1393.12     0.32    -9999
ALMA-ATA-B 211028 300  145000-145500   00    1295.50  681.3   1394.88     0.45    -9999
ALMA-ATA-B 211028 300  145500-150000   00    1290.34  681.2   1389.26     0.05    -9999
ALMA-ATA-B 211028 300  150000-150500   00    1285.80  681.2   1384.26    -0.31    -9999
ALMA-ATA-B 211028 300  150500-151000   00    1297.22  681.2   1396.40     0.56    -9999
ALMA-ATA-B 211028 300  151000-151500   00    1292.78  681.2   1391.38     0.20    -9999
ALMA-ATA-B 211028 300  151500-152000   00    1292.90  681.2   1391.22     0.19    -9999
ALMA-ATA-B 211028 300  152000-152500   00    1292.54  681.2   1390.80     0.16    -9999
ALMA-ATA-B 211028 300  152500-153000   00    1285.82  681.2   1383.86    -0.34    -9999
ALMA-ATA-B 211028 300  153000-153500   00    1288.02  681.2   1386.38    -0.16    -9999
ALMA-ATA-B 211028 300  153500-154000   00    1297.32  681.2   1396.68     0.58    -9999
ALMA-ATA-B 211028 300  154000-154500   00    1290.78  681.2   1389.48     0.06    -9999
ALMA-ATA-B 211028 300  154500-155000   00    1294.08  681.2   1392.88     0.31    -9999
ALMA-ATA-B 211028 300  155000-155500   00    1297.48  681.2   1396.52     0.57    -9999
ALMA-ATA-B 211028 300  155500-160000   00    1293.86  681.2   1392.36     0.27    -9999
ALMA-ATA-B 211028 300  160000-160500   00    1286.14  681.2   1384.12    -0.32    -9999
ALMA-ATA-B 211028 300  160500-161000   00    1293.58  681.2   1392.14     0.25    -9999
ALMA-ATA-B 211028 300  161000-161500   00    1288.42  681.2   1386.80    -0.13    -9999
ALMA-ATA-B 211028 300  161500-162000   00    1302.16  681.2   1401.42     0.92    -9999
ALMA-ATA-B 211028 300  162000-162500   00    1291.82  681.2   1390.64     0.15    -9999
ALMA-ATA-B 211028 300  162500-163000   00    1299.88  681.2   1399.04     0.75    -9999
ALMA-ATA-B 211028 300  163000-163500   00    1293.36  681.2   1392.52     0.28    -9999
ALMA-ATA-B 211028 300  163500-164000   00    1290.16  681.3   1389.14     0.04    -9999
ALMA-ATA-B 211028 300  164000-164500   00    1281.48  681.3   1379.82    -0.63    -9999
ALMA-ATA-B 211028 300  164500-165000   00    1281.52  681.2   1379.68    -0.64    -9999
ALMA-ATA-B 211028 300  165000-165500   00    1296.64  681.3   1396.10     0.54    -9999
ALMA-ATA-B 211028 300  165500-170000   00    1283.78  681.2   1382.16    -0.47    -9999
ALMA-ATA-B 211028 300  170000-170500   00    1286.82  681.3   1385.64    -0.21    -9999
ALMA-ATA-B 211028 300  170500-171000   00    1287.64  681.3   1386.38    -0.16    -9999
ALMA-ATA-B 211028 300  171000-171500   00    1295.04  681.2   1394.26     0.41    -9999
ALMA-ATA-B 211028 300  171500-172000   00    1282.46  681.2   1380.50    -0.58    -9999
