CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    -9999   MB     COEFFICIENT   -9999     % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    353.04      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    211027 3600 000000-010000   00     384.10-9999.0    353.50     0.12    -9999
CALGARY    211027 3600 010000-020000   00     383.60-9999.0    352.50    -0.16    -9999
CALGARY    211027 3600 020000-030000   00     382.70-9999.0    351.10    -0.56    -9999
CALGARY    211027 3600 030000-040000   00     382.20-9999.0    350.80    -0.65    -9999
CALGARY    211027 3600 040000-050000   00     381.30-9999.0    350.10    -0.84    -9999
CALGARY    211027 3600 050000-060000   00     383.10-9999.0    350.20    -0.80    -9999
CALGARY    211027 3600 060000-070000   00     383.30-9999.0    349.50    -1.01    -9999
CALGARY    211027 3600 070000-080000   00     384.00-9999.0    349.30    -1.06    -9999
CALGARY    211027 3600 080000-090000   00     384.00-9999.0    348.30    -1.34    -9999
CALGARY    211027 3600 090000-100000   00     384.60-9999.0    348.80    -1.19    -9999
CALGARY    211027 3600 100000-110000   00     382.60-9999.0    349.10    -1.12    -9999
CALGARY    211027 3600 110000-120000   00     381.00-9999.0    349.20    -1.08    -9999
CALGARY    211027 3600 120000-130000   00     378.50-9999.0    349.00    -1.16    -9999
CALGARY    211027 3600 130000-140000   00     377.40-9999.0    349.90    -0.88    -9999
CALGARY    211027 3600 140000-150000   00     375.60-9999.0    351.60    -0.41    -9999
CALGARY    211027 3600 150000-160000   00     372.80-9999.0    352.20    -0.23    -9999
CALGARY    211027 3600 160000-170000   00     369.90-9999.0    353.10     0.01    -9999
CALGARY    211027 3600 170000-180000   00     365.80-9999.0    353.20     0.05    -9999
CALGARY    211027 3600 180000-190000   00     364.30-9999.0    353.50     0.13    -9999
CALGARY    211027 3600 190000-200000   00     363.10-9999.0    353.70     0.17    -9999
CALGARY    211027 3600 200000-210000   00     361.00-9999.0    354.10     0.29    -9999
CALGARY    211027 3600 210000-220000   00     361.00-9999.0    355.30     0.63    -9999
CALGARY    211027 3600 220000-230000   00     359.50-9999.0    356.30     0.92    -9999
CALGARY    211027 3600 230000-000000   00     356.50-9999.0    354.90     0.51    -9999
CALGARY    211028 3600 000000-010000   00     353.50-9999.0    354.00     0.26    -9999
CALGARY    211028 3600 010000-020000   00     351.50-9999.0    354.40     0.38    -9999
CALGARY    211028 3600 020000-030000   00     348.50-9999.0    353.60     0.15    -9999
CALGARY    211028 3600 030000-040000   00     347.60-9999.0    353.30     0.08    -9999
CALGARY    211028 3600 040000-050000   00     346.70-9999.0    352.70    -0.09    -9999
CALGARY    211028 3600 050000-060000   00     346.50-9999.0    353.00    -0.01    -9999
CALGARY    211028 3600 060000-070000   00     344.80-9999.0    352.20    -0.23    -9999
CALGARY    211028 3600 070000-080000   00     344.50-9999.0    353.10     0.01    -9999
CALGARY    211028 3600 080000-090000   00     341.60-9999.0    352.10    -0.28    -9999
CALGARY    211028 3600 090000-100000   00     341.20-9999.0    351.50    -0.42    -9999
CALGARY    211028 3600 100000-110000   00     339.80-9999.0    350.60    -0.69    -9999
CALGARY    211028 3600 110000-120000   00     338.80-9999.0    350.80    -0.64    -9999
CALGARY    211028 300  120000-120500   00     336.20-9999.0    348.80    -1.20    -9999
CALGARY    211028 300  120500-121000   00     337.70-9999.0    349.80    -0.92    -9999
CALGARY    211028 300  121000-121500   00     339.90-9999.0    351.80    -0.36    -9999
CALGARY    211028 300  121500-122000   00     339.10-9999.0    351.60    -0.41    -9999
CALGARY    211028 300  122000-122500   00     339.60-9999.0    352.20    -0.23    -9999
CALGARY    211028 300  122500-123000   00     338.20-9999.0    350.50    -0.71    -9999
CALGARY    211028 300  123000-123500   00     342.10-9999.0    354.20     0.32    -9999
CALGARY    211028 300  123500-124000   00     341.20-9999.0    353.30     0.07    -9999
CALGARY    211028 300  124000-124500   00     340.60-9999.0    352.60    -0.14    -9999
CALGARY    211028 300  124500-125000   00     340.20-9999.0    352.00    -0.29    -9999
CALGARY    211028 300  125000-125500   00     342.10-9999.0    353.60     0.15    -9999
CALGARY    211028 300  125500-130000   00     338.50-9999.0    349.50    -1.02    -9999
CALGARY    211028 300  130000-130500   00     343.70-9999.0    354.70     0.48    -9999
