DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.16      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       211027 3600 000000-010000   00       5.18  640.8      4.17     0.15    -9999
DOMB       211027 3600 010000-020000   00       5.18  640.1      4.14    -0.45    -9999
DOMB       211027 3600 020000-030000   00       5.20  639.6      4.14    -0.33    -9999
DOMB       211027 3600 030000-040000   00       5.22  639.3      4.15    -0.18    -9999
DOMB       211027 3600 040000-050000   00       5.23  638.6      4.14    -0.50    -9999
DOMB       211027 3600 050000-060000   00       5.33  637.7      4.19     0.73    -9999
DOMB       211027 3600 060000-070000   00       5.41  636.9      4.22     1.43    -9999
DOMB       211027 3600 070000-080000   00       5.37  636.5      4.17     0.39    -9999
DOMB       211027 3600 080000-090000   00       5.44  635.8      4.21     1.28    -9999
DOMB       211027 3600 090000-100000   00       5.42  635.3      4.18     0.49    -9999
DOMB       211027 3600 100000-110000   00       5.39  634.5      4.13    -0.71    -9999
DOMB       211027 3600 110000-120000   00       5.53  633.9      4.22     1.45    -9999
DOMB       211027 3600 120000-130000   00       5.55  633.2      4.21     1.26    -9999
DOMB       211027 3600 130000-140000   00       5.50  632.3      4.14    -0.33    -9999
DOMB       211027 3600 140000-150000   00       5.52  631.6      4.14    -0.47    -9999
DOMB       211027 3600 150000-160000   00       5.66  630.8      4.22     1.48    -9999
DOMB       211027 3600 160000-170000   00       5.67  629.9      4.19     0.83    -9999
DOMB       211027 3600 170000-180000   00       5.65  629.3      4.17     0.15    -9999
