DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     18.61      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       211027 3600 000000-010000   00      22.55  642.1     18.49    -0.61    -9999
DOMC       211027 3600 010000-020000   00      22.69  641.5     18.53    -0.42    -9999
DOMC       211027 3600 020000-030000   00      22.92  641.0     18.64     0.16    -9999
DOMC       211027 3600 030000-040000   00      22.93  640.7     18.59    -0.07    -9999
DOMC       211027 3600 040000-050000   00      22.84  640.0     18.43    -0.95    -9999
DOMC       211027 3600 050000-060000   00      23.08  639.1     18.50    -0.60    -9999
DOMC       211027 3600 060000-070000   00      23.42  638.4     18.66     0.27    -9999
DOMC       211027 3600 070000-080000   00      23.36  638.0     18.55    -0.28    -9999
DOMC       211027 3600 080000-090000   00      23.39  637.3     18.49    -0.65    -9999
DOMC       211027 3600 090000-100000   00      23.58  636.7     18.55    -0.32    -9999
DOMC       211027 3600 100000-110000   00      23.74  635.9     18.57    -0.21    -9999
DOMC       211027 3600 110000-120000   00      23.90  635.3     18.60    -0.04    -9999
DOMC       211027 3600 120000-130000   00      24.06  634.6     18.62     0.07    -9999
DOMC       211027 3600 130000-140000   00      24.07  633.8     18.51    -0.54    -9999
DOMC       211027 3600 140000-150000   00      24.38  633.0     18.64     0.18    -9999
DOMC       211027 3600 150000-160000   00      24.42  632.3     18.56    -0.25    -9999
DOMC       211027 3600 160000-170000   00      24.63  631.3     18.59    -0.09    -9999
DOMC       211027 3600 170000-180000   00      24.68  630.7     18.54    -0.37    -9999
DOMC       211027 3600 180000-190000   00      24.59  629.8     18.35    -1.40    -9999
DOMC       211027 3600 190000-200000   00      24.93  629.1     18.49    -0.63    -9999
DOMC       211027 3600 200000-210000   00      25.12  628.4     18.53    -0.39    -9999
DOMC       211027 3600 210000-220000   00      25.35  627.7     18.60    -0.02    -9999
