DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    -9999   MB     COEFFICIENT   -9999     % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE    112.75      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    211027 3600 000000-010000   00     101.82  998.5    111.22    -1.36    -9999
DOURBES    211027 3600 010000-020000   00     101.83  998.4    111.14    -1.43    -9999
DOURBES    211027 3600 020000-030000   00     101.90  998.2    111.02    -1.54    -9999
DOURBES    211027 3600 030000-040000   00     102.04  998.1    111.14    -1.43    -9999
DOURBES    211027 3600 040000-050000   00     102.46  998.1    111.58    -1.04    -9999
DOURBES    211027 3600 050000-060000   00     102.29  998.0    111.26    -1.32    -9999
DOURBES    211027 3600 060000-070000   00     102.89  998.2    112.08    -0.59    -9999
DOURBES    211027 3600 070000-080000   00     103.01  998.7    112.67    -0.08    -9999
DOURBES    211027 3600 080000-090000   00     102.38  998.9    112.17    -0.52    -9999
DOURBES    211027 3600 090000-100000   00     103.05  998.8    112.80     0.04    -9999
DOURBES    211027 3600 100000-110000   00     102.55  999.1    112.51    -0.21    -9999
DOURBES    211027 3600 110000-120000   00     102.92  998.7    112.57    -0.16    -9999
DOURBES    211027 3600 120000-130000   00     103.40  998.2    112.70    -0.04    -9999
DOURBES    211027 3600 130000-140000   00     103.84  997.7    112.69    -0.05    -9999
DOURBES    211027 3600 140000-150000   00     104.01  997.2    112.51    -0.21    -9999
DOURBES    211027 3600 150000-160000   00     104.12  997.0    112.44    -0.28    -9999
DOURBES    211027 3600 160000-170000   00     103.63  996.8    111.73    -0.91    -9999
DOURBES    211027 3600 170000-180000   00     103.94  996.6    111.91    -0.75    -9999
DOURBES    211027 3600 180000-190000   00     104.47  996.3    112.25    -0.45    -9999
DOURBES    211027 3600 190000-200000   00     104.46  996.0    111.98    -0.68    -9999
DOURBES    211027 3600 200000-210000   00     104.21  995.9    111.60    -1.02    -9999
DOURBES    211027 3600 210000-220000   00     103.71  995.7    110.92    -1.62    -9999
DOURBES    211027 3600 220000-230000   00     104.47  995.4    111.47    -1.14    -9999
DOURBES    211027 3600 230000-000000   00     105.87  994.8    112.47    -0.25    -9999
DOURBES    211028 3600 000000-010000   00     105.40  994.4    111.65    -0.98    -9999
DOURBES    211028 3600 010000-020000   00     106.38  993.9    112.28    -0.42    -9999
DOURBES    211028 3600 020000-030000   00     106.22  993.3    111.61    -1.02    -9999
DOURBES    211028 3600 030000-040000   00     106.86  992.6    111.70    -0.93    -9999
DOURBES    211028 3600 040000-050000   00     107.57  992.2    112.17    -0.52    -9999
DOURBES    211028 3600 050000-060000   00     107.91  992.0    112.29    -0.41    -9999
DOURBES    211028 3600 060000-070000   00     108.71  991.7    112.91     0.14    -9999
DOURBES    211028 3600 070000-080000   00     108.70  991.8    113.01     0.23    -9999
DOURBES    211028 3600 080000-090000   00     109.23  991.8    113.50     0.66    -9999
DOURBES    211028 3600 090000-100000   00     109.32  991.4    113.28     0.47    -9999
DOURBES    211028 3600 100000-110000   00     109.18  990.8    112.62    -0.12    -9999
DOURBES    211028 3600 110000-120000   00     109.79  990.2    112.80     0.04    -9999
DOURBES    211028 300  120000-120500   00     110.66  989.9    113.37     0.55    -9999
DOURBES    211028 300  120500-121000   00     108.52  989.8    111.15    -1.42    -9999
DOURBES    211028 300  121000-121500   00     110.21  989.7    112.80     0.04    -9999
DOURBES    211028 300  121500-122000   00     111.55  989.6    114.05     1.15    -9999
DOURBES    211028 300  122000-122500   00     109.22  989.5    111.60    -1.02    -9999
DOURBES    211028 300  122500-123000   00     110.08  989.4    112.39    -0.32    -9999
DOURBES    211028 300  123000-123500   00     110.43  989.3    112.67    -0.07    -9999
DOURBES    211028 300  123500-124000   00     111.37  989.3    113.64     0.79    -9999
DOURBES    211028 300  124000-124500   00     109.97  989.2    112.16    -0.53    -9999
DOURBES    211028 300  124500-125000   00     113.09  989.2    115.30     2.26    -9999
DOURBES    211028 300  125000-125500   00     111.67  989.1    113.78     0.91    -9999
DOURBES    211028 300  125500-130000   00     111.10  989.1    113.15     0.35    -9999
DOURBES    211028 300  130000-130500   00     108.76  989.0    110.73    -1.79    -9999
DOURBES    211028 300  130500-131000   00     110.65  988.9    112.57    -0.16    -9999
DOURBES    211028 300  131000-131500   00     111.02  988.9    112.92     0.15    -9999
DOURBES    211028 300  131500-132000   00     111.52  988.9    113.44     0.61    -9999
DOURBES    211028 300  132000-132500   00     110.76  988.8    112.62    -0.11    -9999
DOURBES    211028 300  132500-133000   00     109.02  988.8    110.79    -1.74    -9999
DOURBES    211028 300  133000-133500   00     112.39  988.7    114.15     1.24    -9999
DOURBES    211028 300  133500-134000   00     110.45  988.6    112.12    -0.56    -9999
DOURBES    211028 300  134000-134500   00     111.37  988.6    113.01     0.23    -9999
DOURBES    211028 300  134500-135000   00     110.84  988.6    112.48    -0.25    -9999
DOURBES    211028 300  135000-135500   00     111.13  988.5    112.70    -0.04    -9999
DOURBES    211028 300  135500-140000   00     111.53  988.4    113.05     0.26    -9999
DOURBES    211028 300  140000-140500   00     110.59  988.4    112.11    -0.57    -9999
DOURBES    211028 300  140500-141000   00     113.55  988.4    115.06     2.05    -9999
DOURBES    211028 300  141000-141500   00     109.52  988.3    110.94    -1.60    -9999
DOURBES    211028 300  141500-142000   00     110.82  988.3    112.23    -0.47    -9999
DOURBES    211028 300  142000-142500   00     112.09  988.3    113.52     0.68    -9999
DOURBES    211028 300  142500-143000   00     110.58  988.3    112.01    -0.66    -9999
DOURBES    211028 300  143000-143500   00     112.63  988.3    114.06     1.16    -9999
DOURBES    211028 300  143500-144000   00     111.75  988.2    113.10     0.31    -9999
DOURBES    211028 300  144000-144500   00     111.57  988.2    112.90     0.13    -9999
DOURBES    211028 300  144500-145000   00     110.46  988.1    111.75    -0.89    -9999
DOURBES    211028 300  145000-145500   00     112.46  988.1    113.74     0.88    -9999
DOURBES    211028 300  145500-150000   00     112.71  988.2    114.06     1.16    -9999
DOURBES    211028 300  150000-150500   00     110.37  988.2    111.68    -0.95    -9999
DOURBES    211028 300  150500-151000   00     110.39  988.1    111.65    -0.98    -9999
DOURBES    211028 300  151000-151500   00     111.00  988.0    112.18    -0.51    -9999
DOURBES    211028 300  151500-152000   00     112.42  987.9    113.56     0.72    -9999
DOURBES    211028 300  152000-152500   00     109.85  987.9    110.92    -1.63    -9999
DOURBES    211028 300  152500-153000   00     113.23  987.8    114.28     1.36    -9999
DOURBES    211028 300  153000-153500   00     112.98  987.8    113.97     1.08    -9999
DOURBES    211028 300  153500-154000   00     113.58  987.8    114.59     1.63    -9999
DOURBES    211028 300  154000-154500   00     110.34  987.8    111.31    -1.28    -9999
DOURBES    211028 300  154500-155000   00     108.60  987.7    109.48    -2.90    -9999
DOURBES    211028 300  155000-155500   00     112.65  987.6    113.53     0.69    -9999
DOURBES    211028 300  155500-160000   00     110.43  987.5    111.21    -1.37    -9999
DOURBES    211028 300  160000-160500   00     112.65  987.5    113.39     0.57    -9999
DOURBES    211028 300  160500-161000   00     111.91  987.4    112.56    -0.17    -9999
DOURBES    211028 300  161000-161500   00     113.16  987.3    113.78     0.91    -9999
DOURBES    211028 300  161500-162000   00     111.85  987.3    112.45    -0.27    -9999
DOURBES    211028 300  162000-162500   00     111.95  987.2    112.50    -0.23    -9999
DOURBES    211028 300  162500-163000   00     113.65  987.2    114.18     1.27    -9999
DOURBES    211028 300  163000-163500   00     112.07  987.2    112.55    -0.18    -9999
DOURBES    211028 300  163500-164000   00     111.90  987.1    112.37    -0.34    -9999
DOURBES    211028 300  164000-164500   00     110.54  987.1    110.95    -1.59    -9999
DOURBES    211028 300  164500-165000   00     109.71  987.0    110.08    -2.37    -9999
