Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    226.72      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort SMITH 211027 3600 000000-010000   00     315.38  969.2    227.76     0.46    -9999
Fort SMITH 211027 3600 010000-020000   00     315.11  968.9    226.92     0.09    -9999
Fort SMITH 211027 3600 020000-030000   00     314.45  968.9    226.56    -0.07    -9999
Fort SMITH 211027 3600 030000-040000   00     312.96  969.2    225.92    -0.35    -9999
Fort SMITH 211027 3600 040000-050000   00     312.77  969.4    226.16    -0.25    -9999
Fort SMITH 211027 3600 050000-060000   00     312.15  969.5    225.79    -0.41    -9999
Fort SMITH 211027 3600 060000-070000   00     311.55  969.6    225.72    -0.44    -9999
Fort SMITH 211027 3600 070000-080000   00     310.50  969.8    225.24    -0.65    -9999
Fort SMITH 211027 3600 080000-090000   00     309.44  970.3    225.20    -0.67    -9999
Fort SMITH 211027 3600 090000-100000   00     308.03  970.5    224.63    -0.92    -9999
Fort SMITH 211027 3600 100000-110000   00     307.18  970.7    224.41    -1.02    -9999
Fort SMITH 211027 3600 110000-120000   00     306.84  970.8    224.17    -1.13    -9999
Fort SMITH 211027 3600 120000-130000   00     306.88  971.0    224.57    -0.95    -9999
Fort SMITH 211027 3600 130000-140000   00     305.93  971.3    224.52    -0.97    -9999
Fort SMITH 211027 3600 140000-150000   00     304.96  971.8    224.44    -1.01    -9999
Fort SMITH 211027 3600 150000-160000   00     304.60  972.2    224.88    -0.81    -9999
Fort SMITH 211027 3600 160000-170000   00     304.94  972.5    225.72    -0.44    -9999
Fort SMITH 211027 3600 170000-180000   00     305.85  972.8    226.85     0.06    -9999
Fort SMITH 211027 3600 180000-190000   00     306.28  973.0    227.55     0.36    -9999
Fort SMITH 211027 3600 190000-200000   00     306.04  973.3    227.88     0.51    -9999
Fort SMITH 211027 3600 200000-210000   00     305.30  973.6    227.82     0.49    -9999
