INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.58     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    199.33      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     211027 3600 000000-010000   00     233.68  992.9    200.67     0.67    -9999
INUVIK     211027 3600 010000-020000   00     234.05  993.2    201.34     1.00    -9999
INUVIK     211027 3600 020000-030000   00     233.99  993.1    201.23     0.95    -9999
INUVIK     211027 3600 030000-040000   00     232.08  993.3    199.92     0.29    -9999
INUVIK     211027 3600 040000-050000   00     232.36  993.4    200.33     0.50    -9999
INUVIK     211027 3600 050000-060000   00     231.04  993.7    199.56     0.11    -9999
INUVIK     211027 3600 060000-070000   00     230.41  994.1    199.56     0.11    -9999
INUVIK     211027 3600 070000-080000   00     230.01  994.2    199.44     0.05    -9999
INUVIK     211027 3600 080000-090000   00     228.93  994.6    199.09    -0.12    -9999
INUVIK     211027 3600 090000-100000   00     228.45  994.9    199.18    -0.08    -9999
INUVIK     211027 3600 100000-110000   00     227.41  995.4    198.93    -0.20    -9999
INUVIK     211027 3600 110000-120000   00     226.57  995.7    198.70    -0.32    -9999
INUVIK     211027 3600 120000-130000   00     226.04  995.9    198.48    -0.43    -9999
INUVIK     211027 3600 130000-140000   00     225.40  996.0    198.12    -0.61    -9999
INUVIK     211027 3600 140000-150000   00     225.65  996.3    198.78    -0.28    -9999
INUVIK     211027 3600 150000-160000   00     225.09  996.7    198.82    -0.26    -9999
INUVIK     211027 3600 160000-170000   00     224.30  997.0    198.67    -0.33    -9999
INUVIK     211027 3600 170000-180000   00     223.76  997.4    198.74    -0.30    -9999
INUVIK     211027 3600 180000-190000   00     223.05  998.0    199.00    -0.17    -9999
INUVIK     211027 3600 190000-200000   00     223.84  998.5    200.38     0.52    -9999
INUVIK     211027 3600 200000-210000   00     223.61  998.8    200.68     0.68    -9999
INUVIK     211027 3600 210000-220000   00     222.71  999.3    200.62     0.64    -9999
INUVIK     211027 3600 220000-230000   00     223.12  999.5    201.33     1.00    -9999
INUVIK     211027 3600 230000-240000   00     222.31  999.8    201.04     0.86    -9999
INUVIK     211028 3600 000000-010000   00     221.70 1000.2    200.99     0.83    -9999
INUVIK     211028 3600 010000-020000   00     221.64 1000.4    201.26     0.97    -9999
INUVIK     211028 3600 020000-030000   00     220.88 1000.5    200.74     0.71    -9999
INUVIK     211028 3600 030000-040000   00     219.87 1000.6    200.01     0.34    -9999
INUVIK     211028 3600 040000-050000   00     219.58 1000.9    200.12     0.40    -9999
INUVIK     211028 3600 050000-060000   00     218.60 1001.1    199.55     0.11    -9999
INUVIK     211028 3600 060000-070000   00     218.98 1001.2    200.06     0.36    -9999
INUVIK     211028 3600 070000-080000   00     218.71 1001.4    200.08     0.38    -9999
INUVIK     211028 3600 080000-090000   00     217.78 1001.4    199.35     0.01    -9999
INUVIK     211028 3600 090000-100000   00     217.69 1001.6    199.53     0.10    -9999
INUVIK     211028 3600 100000-110000   00     217.47 1001.7    199.53     0.10    -9999
INUVIK     211028 3600 110000-120000   00     216.73 1001.9    199.07    -0.13    -9999
INUVIK     211028 300  120000-120500   00     217.00 1002.0    199.40     0.03    -9999
INUVIK     211028 300  120500-121000   00     214.09 1002.0    196.77    -1.29    -9999
