JANG BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG BOGO  PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
JANG BOGO  PRE-INCREASE AVERAGE COUNTING RATE    284.92      COUNTS PER SECOND
JANG BOGO  TIME INTERVALS    300         3600     
JANG BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG BOGO  211027 3600 000000-010000   00     283.80  978.6    283.82    -0.39    -9999
JANG BOGO  211027 3600 010000-020000   00     285.28  977.9    283.83    -0.38    -9999
JANG BOGO  211027 3600 020000-030000   00     287.57  977.1    284.38    -0.19    -9999
JANG BOGO  211027 3600 030000-040000   00     288.87  976.3    284.05    -0.31    -9999
JANG BOGO  211027 3600 040000-050000   00     291.21  975.5    284.64    -0.10    -9999
JANG BOGO  211027 3600 050000-060000   00     292.37  974.9    284.50    -0.15    -9999
JANG BOGO  211027 3600 060000-070000   00    -999.00  974.4   -999.00    -9999    -9999
JANG BOGO  211027 3600 070000-080000   00    -999.00  973.9   -999.00    -9999    -9999
JANG BOGO  211027 3600 080000-090000   00     293.89  973.7    283.35    -0.55    -9999
JANG BOGO  211027 3600 090000-100000   00     294.94  973.1    283.24    -0.59    -9999
JANG BOGO  211027 3600 100000-110000   00     295.97  972.7    283.22    -0.60    -9999
JANG BOGO  211027 3600 110000-120000   00     298.29  972.3    284.58    -0.12    -9999
JANG BOGO  211027 3600 120000-130000   00     298.44  971.7    283.45    -0.51    -9999
JANG BOGO  211027 3600 130000-140000   00     300.53  971.0    284.11    -0.29    -9999
JANG BOGO  211027 3600 140000-150000   00     302.36  970.6    284.88    -0.01    -9999
JANG BOGO  211027 3600 150000-160000   00     302.44  970.2    284.10    -0.29    -9999
JANG BOGO  211027 3600 160000-170000   00     303.92  969.8    284.74    -0.06    -9999
JANG BOGO  211027 3600 170000-180000   00     304.18  969.6    284.49    -0.15    -9999
JANG BOGO  211027 3600 180000-190000   00     305.28  969.4    285.14     0.08    -9999
JANG BOGO  211027 3600 190000-200000   00     305.77  969.2    285.08     0.06    -9999
JANG BOGO  211027 3600 200000-210000   00     306.96  968.9    285.66     0.26    -9999
JANG BOGO  211027 3600 210000-220000   00     305.93  968.8    284.56    -0.13    -9999
JANG BOGO  211027 3600 220000-230000   00     307.00  968.8    285.48     0.19    -9999
JANG BOGO  211027 3600 230000-000000   00     307.41  968.6    285.43     0.18    -9999
JANG BOGO  211028 3600 000000-010000   00     307.18  968.4    284.70    -0.08    -9999
JANG BOGO  211028 3600 010000-020000   00     307.00  968.3    284.51    -0.15    -9999
JANG BOGO  211028 3600 020000-030000   00     307.51  968.4    285.10     0.06    -9999
JANG BOGO  211028 3600 030000-040000   00     306.99  968.6    285.10     0.06    -9999
JANG BOGO  211028 3600 040000-050000   00     307.12  968.5    284.91     0.00    -9999
JANG BOGO  211028 3600 050000-060000   00     308.97  968.5    286.69     0.62    -9999
JANG BOGO  211028 3600 060000-070000   00     307.01  968.7    285.17     0.09    -9999
JANG BOGO  211028 3600 070000-080000   00     307.28  968.8    285.65     0.25    -9999
JANG BOGO  211028 3600 080000-090000   00     307.04  968.9    285.70     0.27    -9999
JANG BOGO  211028 3600 090000-100000   00     306.15  969.0    285.16     0.09    -9999
JANG BOGO  211028 3600 100000-110000   00     305.88  969.4    285.67     0.26    -9999
JANG BOGO  211028 3600 110000-120000   00     306.37  969.7    286.87     0.69    -9999
