JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    399.54      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  211027 3600 000000-010000   00     314.34  670.7    394.80    -1.19    -9999
JUNGFRAU1  211027 3600 010000-020000   00     314.48  670.6    394.77    -1.19    -9999
JUNGFRAU1  211027 3600 020000-030000   00     315.06  670.6    395.34    -1.05    -9999
JUNGFRAU1  211027 3600 030000-040000   00     315.12  670.5    395.17    -1.09    -9999
JUNGFRAU1  211027 3600 040000-050000   00     316.22  670.6    396.88    -0.66    -9999
JUNGFRAU1  211027 3600 050000-060000   00     316.50  670.7    397.54    -0.50    -9999
JUNGFRAU1  211027 3600 060000-070000   00     317.31  671.0    399.24    -0.07    -9999
JUNGFRAU1  211027 3600 070000-080000   00     316.42  671.4    399.27    -0.07    -9999
JUNGFRAU1  211027 3600 080000-090000   00     317.49  671.7    401.51     0.49    -9999
JUNGFRAU1  211027 3600 090000-100000   00     316.17  671.8    400.16     0.16    -9999
JUNGFRAU1  211027 3600 100000-110000   00     315.15  671.8    398.98    -0.14    -9999
JUNGFRAU1  211027 3600 110000-120000   00     314.73  671.6    397.86    -0.42    -9999
JUNGFRAU1  211027 3600 120000-130000   00     315.50  671.4    398.06    -0.37    -9999
JUNGFRAU1  211027 3600 130000-140000   00     316.47  671.2    398.94    -0.15    -9999
JUNGFRAU1  211027 3600 140000-150000   00     316.57  671.1    398.78    -0.19    -9999
JUNGFRAU1  211027 3600 150000-160000   00     315.07  671.0    396.63    -0.73    -9999
JUNGFRAU1  211027 3600 160000-170000   00     316.06  671.0    397.71    -0.46    -9999
JUNGFRAU1  211027 3600 170000-180000   00     315.47  670.9    396.78    -0.69    -9999
JUNGFRAU1  211027 3600 180000-190000   00     314.65  671.0    395.86    -0.92    -9999
JUNGFRAU1  211027 3600 190000-200000   00     315.57  670.9    396.94    -0.65    -9999
JUNGFRAU1  211027 3600 200000-210000   00     314.87  670.9    396.08    -0.87    -9999
JUNGFRAU1  211027 3600 210000-220000   00     315.17  670.9    396.44    -0.78    -9999
JUNGFRAU1  211027 3600 220000-230000   00     315.45  670.7    396.15    -0.85    -9999
JUNGFRAU1  211027 3600 230000-000000   00     315.91  670.5    396.05    -0.87    -9999
JUNGFRAU1  211028 3600 000000-010000   00     315.97  670.3    395.67    -0.97    -9999
JUNGFRAU1  211028 3600 010000-020000   00     316.51  670.1    395.88    -0.91    -9999
JUNGFRAU1  211028 3600 020000-030000   00     318.90  669.8    397.84    -0.43    -9999
JUNGFRAU1  211028 3600 030000-040000   00     319.34  669.6    397.99    -0.39    -9999
JUNGFRAU1  211028 3600 040000-050000   00     321.06  669.6    400.03     0.12    -9999
JUNGFRAU1  211028 3600 050000-060000   00     321.41  669.5    400.20     0.17    -9999
JUNGFRAU1  211028 3600 060000-070000   00     321.77  669.6    400.85     0.33    -9999
JUNGFRAU1  211028 3600 070000-080000   00     321.14  669.7    400.53     0.25    -9999
JUNGFRAU1  211028 3600 080000-090000   00     320.95  669.8    400.32     0.20    -9999
JUNGFRAU1  211028 3600 090000-100000   00     321.72  669.7    401.09     0.39    -9999
JUNGFRAU1  211028 3600 100000-110000   00     321.97  669.7    401.34     0.45    -9999
JUNGFRAU1  211028 3600 110000-120000   00     321.66  669.5    400.38     0.21    -9999
JUNGFRAU1  211028 300  120000-120500   00     323.98  669.2    402.50     0.74    -9999
JUNGFRAU1  211028 300  120500-121000   00     323.01  669.2    401.32     0.45    -9999
JUNGFRAU1  211028 300  121000-121500   00     322.88  669.2    401.15     0.40    -9999
JUNGFRAU1  211028 300  121500-122000   00     322.45  669.2    400.62     0.27    -9999
JUNGFRAU1  211028 300  122000-122500   00     320.87  669.2    398.67    -0.22    -9999
JUNGFRAU1  211028 300  122500-123000   00     321.54  669.2    399.28    -0.06    -9999
JUNGFRAU1  211028 300  123000-123500   00     323.36  669.2    401.72     0.55    -9999
JUNGFRAU1  211028 300  123500-124000   00     318.29  669.1    395.17    -1.09    -9999
JUNGFRAU1  211028 300  124000-124500   00     320.42  669.1    397.83    -0.43    -9999
JUNGFRAU1  211028 300  124500-125000   00     320.97  669.1    398.38    -0.29    -9999
JUNGFRAU1  211028 300  125000-125500   00     322.67  669.1    400.56     0.25    -9999
JUNGFRAU1  211028 300  125500-130000   00     322.45  669.1    400.34     0.20    -9999
JUNGFRAU1  211028 300  130000-130500   00     324.43  669.1    402.67     0.78    -9999
JUNGFRAU1  211028 300  130500-131000   00     323.50  669.0    401.46     0.48    -9999
JUNGFRAU1  211028 300  131000-131500   00     321.24  669.0    398.51    -0.26    -9999
JUNGFRAU1  211028 300  131500-132000   00     322.97  669.0    400.66     0.28    -9999
JUNGFRAU1  211028 300  132000-132500   00     322.24  669.0    399.74     0.05    -9999
JUNGFRAU1  211028 300  132500-133000   00     321.20  668.9    398.20    -0.33    -9999
JUNGFRAU1  211028 300  133000-133500   00     320.55  668.9    397.36    -0.55    -9999
JUNGFRAU1  211028 300  133500-134000   00     319.72  668.8    396.15    -0.85    -9999
JUNGFRAU1  211028 300  134000-134500   00     321.75  668.8    398.53    -0.25    -9999
JUNGFRAU1  211028 300  134500-135000   00     322.47  668.8    399.52     0.00    -9999
JUNGFRAU1  211028 300  135000-135500   00     324.48  668.7    401.73     0.55    -9999
JUNGFRAU1  211028 300  135500-140000   00     323.36  668.7    400.28     0.19    -9999
JUNGFRAU1  211028 300  140000-140500   00     321.28  668.7    397.65    -0.47    -9999
JUNGFRAU1  211028 300  140500-141000   00     324.19  668.7    401.37     0.46    -9999
JUNGFRAU1  211028 300  141000-141500   00     324.45  668.7    401.59     0.51    -9999
JUNGFRAU1  211028 300  141500-142000   00     319.63  668.7    395.67    -0.97    -9999
JUNGFRAU1  211028 300  142000-142500   00     322.56  668.7    399.35    -0.05    -9999
JUNGFRAU1  211028 300  142500-143000   00     323.54  668.7    400.55     0.25    -9999
JUNGFRAU1  211028 300  143000-143500   00     324.86  668.6    402.04     0.63    -9999
JUNGFRAU1  211028 300  143500-144000   00     322.61  668.7    399.26    -0.07    -9999
JUNGFRAU1  211028 300  144000-144500   00     322.63  668.7    399.36    -0.04    -9999
JUNGFRAU1  211028 300  144500-145000   00     322.51  668.7    399.09    -0.11    -9999
JUNGFRAU1  211028 300  145000-145500   00     324.30  668.6    401.24     0.43    -9999
JUNGFRAU1  211028 300  145500-150000   00     320.83  668.6    396.91    -0.66    -9999
JUNGFRAU1  211028 300  150000-150500   00     321.82  668.6    398.15    -0.35    -9999
JUNGFRAU1  211028 300  150500-151000   00     322.70  668.5    398.94    -0.15    -9999
JUNGFRAU1  211028 300  151000-151500   00     321.22  668.5    397.03    -0.63    -9999
JUNGFRAU1  211028 300  151500-152000   00     321.38  668.5    397.19    -0.59    -9999
JUNGFRAU1  211028 300  152000-152500   00     321.51  668.4    397.13    -0.60    -9999
JUNGFRAU1  211028 300  152500-153000   00     325.55  668.4    402.14     0.65    -9999
JUNGFRAU1  211028 300  153000-153500   00     324.69  668.4    401.07     0.38    -9999
JUNGFRAU1  211028 300  153500-154000   00     323.74  668.4    399.96     0.11    -9999
JUNGFRAU1  211028 300  154000-154500   00     326.33  668.4    403.18     0.91    -9999
JUNGFRAU1  211028 300  154500-155000   00     322.03  668.4    397.77    -0.44    -9999
JUNGFRAU1  211028 300  155000-155500   00     325.21  668.4    401.73     0.55    -9999
JUNGFRAU1  211028 300  155500-160000   00     320.90  668.3    396.15    -0.85    -9999
JUNGFRAU1  211028 300  160000-160500   00     322.84  668.3    398.55    -0.25    -9999
JUNGFRAU1  211028 300  160500-161000   00     321.64  668.3    396.95    -0.65    -9999
JUNGFRAU1  211028 300  161000-161500   00     323.72  668.3    399.58     0.01    -9999
JUNGFRAU1  211028 300  161500-162000   00     324.96  668.3    401.19     0.41    -9999
JUNGFRAU1  211028 300  162000-162500   00     322.92  668.3    398.65    -0.22    -9999
JUNGFRAU1  211028 300  162500-163000   00     321.90  668.3    397.29    -0.56    -9999
JUNGFRAU1  211028 300  163000-163500   00     323.88  668.2    399.55     0.00    -9999
JUNGFRAU1  211028 300  163500-164000   00     324.60  668.3    400.50     0.24    -9999
JUNGFRAU1  211028 300  164000-164500   00     323.10  668.2    398.57    -0.24    -9999
JUNGFRAU1  211028 300  164500-165000   00     324.44  668.2    400.32     0.20    -9999
JUNGFRAU1  211028 300  165000-165500   00     323.10  668.2    398.58    -0.24    -9999
JUNGFRAU1  211028 300  165500-170000   00     321.08  668.3    396.29    -0.81    -9999
JUNGFRAU1  211028 300  170000-170500   00     323.74  668.3    399.50    -0.01    -9999
JUNGFRAU1  211028 300  170500-171000   00     323.32  668.3    398.92    -0.16    -9999
JUNGFRAU1  211028 300  171000-171500   00     324.92  668.2    400.76     0.31    -9999
JUNGFRAU1  211028 300  171500-172000   00     324.62  668.2    400.46     0.23    -9999
JUNGFRAU1  211028 300  172000-172500   00     323.42  668.2    399.04    -0.12    -9999
JUNGFRAU1  211028 300  172500-173000   00     322.75  668.2    398.22    -0.33    -9999
JUNGFRAU1  211028 300  173000-173500   00     323.86  668.3    399.65     0.03    -9999
JUNGFRAU1  211028 300  173500-174000   00     322.95  668.3    398.65    -0.22    -9999
JUNGFRAU1  211028 300  174000-174500   00     318.92  668.3    393.62    -1.48    -9999
JUNGFRAU1  211028 300  174500-175000   00     323.70  668.3    399.55     0.00    -9999
JUNGFRAU1  211028 300  175000-175500   00     323.66  668.3    399.37    -0.04    -9999
JUNGFRAU1  211028 300  175500-180000   00     325.93  668.2    402.20     0.67    -9999
JUNGFRAU1  211028 300  180000-180500   00     325.66  668.2    401.85     0.58    -9999
JUNGFRAU1  211028 300  180500-181000   00     324.40  668.2    400.22     0.17    -9999
JUNGFRAU1  211028 300  181000-181500   00     322.10  668.3    397.44    -0.52    -9999
JUNGFRAU1  211028 300  181500-182000   00     324.73  668.2    400.58     0.26    -9999
JUNGFRAU1  211028 300  182000-182500   00     321.19  668.3    396.35    -0.80    -9999
JUNGFRAU1  211028 300  182500-183000   00     322.79  668.2    398.01    -0.38    -9999
JUNGFRAU1  211028 300  183000-183500   00     320.85  668.2    395.68    -0.97    -9999
JUNGFRAU1  211028 300  183500-184000   00     323.24  668.1    398.50    -0.26    -9999
JUNGFRAU1  211028 300  184000-184500   00     322.47  668.1    397.49    -0.51    -9999
JUNGFRAU1  211028 300  184500-185000   00     326.88  668.1    402.77     0.81    -9999
JUNGFRAU1  211028 300  185000-185500   00     324.16  668.1    399.50    -0.01    -9999
JUNGFRAU1  211028 300  185500-190000   00     321.81  668.0    396.40    -0.78    -9999
JUNGFRAU1  211028 300  190000-190500   00     323.33  668.0    398.48    -0.27    -9999
JUNGFRAU1  211028 300  190500-191000   00     321.24  668.0    395.68    -0.96    -9999
JUNGFRAU1  211028 300  191000-191500   00     319.67  668.0    393.75    -1.45    -9999
JUNGFRAU1  211028 300  191500-192000   00     323.31  668.0    398.29    -0.31    -9999
JUNGFRAU1  211028 300  192000-192500   00     324.27  667.9    399.19    -0.09    -9999
JUNGFRAU1  211028 300  192500-193000   00     320.05  667.9    394.02    -1.38    -9999
JUNGFRAU1  211028 300  193000-193500   00     324.55  667.9    399.53     0.00    -9999
JUNGFRAU1  211028 300  193500-194000   00     322.85  667.9    397.48    -0.51    -9999
JUNGFRAU1  211028 300  194000-194500   00     322.87  667.9    397.35    -0.55    -9999
JUNGFRAU1  211028 300  194500-195000   00     323.81  667.9    398.50    -0.26    -9999
JUNGFRAU1  211028 300  195000-195500   00     326.11  667.8    401.08     0.39    -9999
JUNGFRAU1  211028 300  195500-200000   00     322.47  667.8    396.62    -0.73    -9999
JUNGFRAU1  211028 300  200000-200500   00     320.54  667.8    394.19    -1.34    -9999
JUNGFRAU1  211028 300  200500-201000   00     320.79  667.8    394.53    -1.25    -9999
JUNGFRAU1  211028 300  201000-201500   00     325.50  667.8    400.19     0.16    -9999
JUNGFRAU1  211028 300  201500-202000   00     324.26  667.8    398.69    -0.21    -9999
JUNGFRAU1  211028 300  202000-202500   00     321.47  667.7    395.10    -1.11    -9999
