JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    165.13      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   211027 3600 000000-010000   00     165.87  661.9    163.87    -0.76    -9999
JUNGFRAU   211027 3600 010000-020000   00     166.21  661.9    164.18    -0.57    -9999
JUNGFRAU   211027 3600 020000-030000   00     166.05  661.9    164.00    -0.68    -9999
JUNGFRAU   211027 3600 030000-040000   00     166.81  661.8    164.62    -0.31    -9999
JUNGFRAU   211027 3600 040000-050000   00     167.37  661.9    165.31     0.11    -9999
JUNGFRAU   211027 3600 050000-060000   00     167.07  662.1    165.22     0.06    -9999
JUNGFRAU   211027 3600 060000-070000   00     167.31  662.3    165.69     0.34    -9999
JUNGFRAU   211027 3600 070000-080000   00     167.39  662.6    166.18     0.64    -9999
JUNGFRAU   211027 3600 080000-090000   00     167.56  662.8    166.60     0.89    -9999
JUNGFRAU   211027 3600 090000-100000   00     166.84  663.0    166.00     0.53    -9999
JUNGFRAU   211027 3600 100000-110000   00     166.85  663.1    166.19     0.64    -9999
JUNGFRAU   211027 3600 110000-120000   00     166.26  662.8    165.32     0.12    -9999
JUNGFRAU   211027 3600 120000-130000   00     166.67  662.6    165.40     0.17    -9999
JUNGFRAU   211027 3600 130000-140000   00     167.25  662.5    165.85     0.44    -9999
JUNGFRAU   211027 3600 140000-150000   00     166.84  662.4    165.38     0.15    -9999
JUNGFRAU   211027 3600 150000-160000   00     166.47  662.3    164.91    -0.13    -9999
JUNGFRAU   211027 3600 160000-170000   00     166.42  662.3    164.84    -0.18    -9999
