KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.76     % / mb
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    237.45      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KERGUELEN  211027 3600 000000-010000   00     210.77 1014.1    234.62    -1.19    -9999
KERGUELEN  211027 3600 010000-020000   00     210.53 1014.2    234.62    -1.19    -9999
KERGUELEN  211027 3600 020000-030000   00     209.84 1014.7    234.70    -1.16    -9999
KERGUELEN  211027 3600 030000-040000   00     210.30 1014.9    235.51    -0.82    -9999
KERGUELEN  211027 3600 040000-050000   00     209.50 1015.2    235.14    -0.97    -9999
KERGUELEN  211027 3600 050000-060000   00     209.36 1015.0    234.74    -1.14    -9999
KERGUELEN  211027 3600 060000-070000   00     212.44 1014.6    237.46     0.00    -9999
KERGUELEN  211027 3600 070000-080000   00     212.48 1014.5    237.31    -0.06    -9999
KERGUELEN  211027 3600 080000-090000   00     213.06 1014.2    237.45     0.00    -9999
KERGUELEN  211027 3600 090000-100000   00     213.84 1013.7    237.39    -0.03    -9999
KERGUELEN  211027 3600 100000-110000   00     213.49 1013.6    236.78    -0.28    -9999
KERGUELEN  211027 3600 110000-120000   00     214.61 1013.1    237.17    -0.12    -9999
KERGUELEN  211027 3600 120000-130000   00     214.20 1012.5    235.56    -0.79    -9999
KERGUELEN  211027 3600 130000-140000   00     215.58 1012.2    236.57    -0.37    -9999
KERGUELEN  211027 3600 140000-150000   00     214.90 1012.1    235.74    -0.72    -9999
KERGUELEN  211027 3600 150000-160000   00     215.41 1011.8    235.70    -0.74    -9999
KERGUELEN  211027 3600 160000-170000   00     216.74 1011.0    235.70    -0.74    -9999
KERGUELEN  211027 3600 170000-180000   00     218.37 1010.0    235.62    -0.77    -9999
KERGUELEN  211027 3600 180000-190000   00     220.13 1009.2    236.17    -0.54    -9999
KERGUELEN  211027 3600 190000-200000   00     220.52 1008.6    235.45    -0.84    -9999
KERGUELEN  211027 3600 200000-210000   00     221.89 1007.7    235.33    -0.89    -9999
KERGUELEN  211027 3600 210000-220000   00     223.62 1006.9    235.76    -0.71    -9999
KERGUELEN  211027 3600 220000-230000   00     226.17 1005.8    236.43    -0.43    -9999
KERGUELEN  211027 3600 230000-000000   00     226.44 1004.8    235.05    -1.01    -9999
KERGUELEN  211028 3600 000000-010000   00     227.43 1004.5    235.50    -0.82    -9999
KERGUELEN  211028 3600 010000-020000   00     228.55 1004.0    235.67    -0.75    -9999
