MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     mb     COEFFICIENT   -0.71     % / mb
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    228.19      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     10          10       
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MEXICOCITY 211027 3600 000000-010000   00     235.03  773.6    226.75    -0.63    -9999
MEXICOCITY 211027 3600 010000-020000   00     233.84  774.4    226.81    -0.60    -9999
MEXICOCITY 211027 3600 020000-030000   00     232.14  775.3    226.70    -0.65    -9999
MEXICOCITY 211027 3600 030000-040000   00     231.01  775.8    226.30    -0.83    -9999
MEXICOCITY 211027 3600 040000-050000   00     230.97  776.1    226.76    -0.63    -9999
MEXICOCITY 211027 3600 050000-060000   00     231.21  776.0    226.79    -0.61    -9999
MEXICOCITY 211027 3600 060000-070000   00     232.17  775.7    227.26    -0.41    -9999
MEXICOCITY 211027 3600 070000-080000   00     232.36  775.3    226.90    -0.57    -9999
MEXICOCITY 211027 3600 080000-090000   00     233.27  775.0    227.25    -0.41    -9999
MEXICOCITY 211027 3600 090000-100000   00     233.97  774.8    227.67    -0.23    -9999
MEXICOCITY 211027 3600 100000-110000   00     233.87  774.9    227.71    -0.21    -9999
MEXICOCITY 211027 3600 110000-120000   00     233.94  774.9    227.76    -0.19    -9999
MEXICOCITY 211027 3600 120000-130000   00     234.33  775.0    228.31     0.05    -9999
MEXICOCITY 211027 3600 130000-140000   00     234.24  775.4    228.77     0.25    -9999
MEXICOCITY 211027 3600 140000-150000   00     232.90  775.6    227.79    -0.18    -9999
MEXICOCITY 211027 3600 150000-160000   00     232.93  775.9    228.35     0.07    -9999
MEXICOCITY 211027 3600 160000-170000   00     233.30  775.6    228.27     0.04    -9999
MEXICOCITY 211027 3600 170000-180000   00     234.86  774.7    228.34     0.07    -9999
MEXICOCITY 211027 3600 180000-190000   00     235.47  773.9    227.56    -0.28    -9999
MEXICOCITY 211027 3600 190000-200000   00     237.44  773.0    228.03    -0.07    -9999
MEXICOCITY 211027 3600 200000-210000   00     238.49  772.2    227.69    -0.22    -9999
MEXICOCITY 211027 3600 210000-220000   00     238.55  771.9    227.34    -0.37    -9999
MEXICOCITY 211027 3600 220000-230000   00     238.55  772.1    227.64    -0.24    -9999
MEXICOCITY 211027 3600 230000-000000   00     237.97  772.6    227.90    -0.13    -9999
MEXICOCITY 211028 3600 000000-010000   00     236.24  773.1    227.12    -0.47    -9999
MEXICOCITY 211028 3600 010000-020000   00     234.83  774.0    227.15    -0.45    -9999
MEXICOCITY 211028 3600 020000-030000   00     233.69  775.1    227.83    -0.16    -9999
MEXICOCITY 211028 3600 030000-040000   00     232.58  775.5    227.39    -0.35    -9999
MEXICOCITY 211028 3600 040000-050000   00     233.16  775.7    228.23     0.02    -9999
MEXICOCITY 211028 3600 050000-060000   00     233.48  775.4    228.08    -0.05    -9999
MEXICOCITY 211028 3600 060000-070000   00     233.72  775.1    227.87    -0.14    -9999
MEXICOCITY 211028 3600 070000-080000   00     234.17  774.9    228.02    -0.07    -9999
MEXICOCITY 211028 3600 080000-090000   00     235.11  774.9    228.86     0.29    -9999
MEXICOCITY 211028 3600 090000-100000   00     235.12  775.0    229.03     0.37    -9999
MEXICOCITY 211028 3600 100000-110000   00     234.45  775.2    228.74     0.24    -9999
MEXICOCITY 211028 3600 110000-120000   00     233.67  775.5    228.45     0.12    -9999
MEXICOCITY 211028 300  120000-120500   00     234.93  775.7    230.02     0.80    -9999
MEXICOCITY 211028 300  120500-121000   00     233.54  775.8    228.82     0.28    -9999
MEXICOCITY 211028 300  121000-121500   00     235.17  775.8    230.45     0.99    -9999
MEXICOCITY 211028 300  121500-122000   00     232.72  775.9    228.18     0.00    -9999
MEXICOCITY 211028 300  122000-122500   00     232.18  775.9    227.64    -0.24    -9999
MEXICOCITY 211028 300  122500-123000   00     230.46  776.0    226.06    -0.93    -9999
MEXICOCITY 211028 300  123000-123500   00     234.48  776.0    230.06     0.82    -9999
MEXICOCITY 211028 300  123500-124000   00     234.19  776.0    229.81     0.71    -9999
MEXICOCITY 211028 300  124000-124500   00     231.46  776.1    227.24    -0.42    -9999
MEXICOCITY 211028 300  124500-125000   00     234.26  776.1    229.98     0.79    -9999
MEXICOCITY 211028 300  125000-125500   00     233.88  776.1    229.64     0.64    -9999
MEXICOCITY 211028 300  125500-130000   00     232.63  776.1    228.41     0.10    -9999
MEXICOCITY 211028 300  130000-130500   00     233.61  776.2    229.47     0.56    -9999
MEXICOCITY 211028 300  130500-131000   00     232.66  776.2    228.60     0.18    -9999
MEXICOCITY 211028 300  131000-131500   00     232.67  776.2    228.61     0.19    -9999
MEXICOCITY 211028 300  131500-132000   00     232.17  776.3    228.22     0.02    -9999
MEXICOCITY 211028 300  132000-132500   00     232.31  776.3    228.42     0.10    -9999
MEXICOCITY 211028 300  132500-133000   00     233.81  776.3    229.90     0.75    -9999
MEXICOCITY 211028 300  133000-133500   00     233.71  776.3    229.80     0.71    -9999
MEXICOCITY 211028 300  133500-134000   00     231.32  776.3    227.45    -0.33    -9999
MEXICOCITY 211028 300  134000-134500   00     232.40  776.3    228.51     0.14    -9999
MEXICOCITY 211028 300  134500-135000   00     230.26  776.3    226.41    -0.78    -9999
MEXICOCITY 211028 300  135000-135500   00     230.31  776.3    226.46    -0.76    -9999
MEXICOCITY 211028 300  135500-140000   00     230.63  776.3    226.84    -0.59    -9999
MEXICOCITY 211028 300  140000-140500   00     232.03  776.4    228.31     0.05    -9999
MEXICOCITY 211028 300  140500-141000   00     231.32  776.4    227.62    -0.25    -9999
MEXICOCITY 211028 300  141000-141500   00     229.59  776.4    225.98    -0.97    -9999
MEXICOCITY 211028 300  141500-142000   00     232.46  776.5    228.87     0.30    -9999
MEXICOCITY 211028 300  142000-142500   00     230.59  776.5    227.05    -0.50    -9999
MEXICOCITY 211028 300  142500-143000   00     232.26  776.5    228.71     0.23    -9999
MEXICOCITY 211028 300  143000-143500   00     233.48  776.6    230.07     0.82    -9999
MEXICOCITY 211028 300  143500-144000   00     231.12  776.7    227.84    -0.15    -9999
MEXICOCITY 211028 300  144000-144500   00     229.34  776.7    226.15    -0.89    -9999
MEXICOCITY 211028 300  144500-145000   00     232.00  776.7    228.77     0.25    -9999
MEXICOCITY 211028 300  145000-145500   00     233.64  776.7    230.42     0.98    -9999
MEXICOCITY 211028 300  145500-150000   00     231.12  776.8    228.04    -0.07    -9999
MEXICOCITY 211028 300  150000-150500   00     230.65  776.8    227.60    -0.26    -9999
MEXICOCITY 211028 300  150500-151000   00     233.55  776.8    230.46     1.00    -9999
MEXICOCITY 211028 300  151000-151500   00     230.60  776.8    227.56    -0.28    -9999
MEXICOCITY 211028 300  151500-152000   00     232.32  776.8    229.26     0.47    -9999
MEXICOCITY 211028 300  152000-152500   00     233.79  776.9    230.80     1.15    -9999
MEXICOCITY 211028 300  152500-153000   00     231.58  776.9    228.69     0.22    -9999
MEXICOCITY 211028 300  153000-153500   00     230.61  776.9    227.72    -0.20    -9999
MEXICOCITY 211028 300  153500-154000   00     232.12  776.9    229.22     0.45    -9999
MEXICOCITY 211028 300  154000-154500   00     228.53  776.9    225.67    -1.10    -9999
MEXICOCITY 211028 300  154500-155000   00     230.90  776.9    228.01    -0.08    -9999
MEXICOCITY 211028 300  155000-155500   00     229.40  776.9    226.53    -0.73    -9999
MEXICOCITY 211028 300  155500-160000   00     231.81  776.8    228.75     0.25    -9999
MEXICOCITY 211028 300  160000-160500   00     229.35  776.8    226.32    -0.82    -9999
MEXICOCITY 211028 300  160500-161000   00     230.82  776.8    227.78    -0.18    -9999
MEXICOCITY 211028 300  161000-161500   00     230.39  776.8    227.34    -0.37    -9999
MEXICOCITY 211028 300  161500-162000   00     231.86  776.7    228.70     0.23    -9999
MEXICOCITY 211028 300  162000-162500   00     231.34  776.7    228.12    -0.03    -9999
MEXICOCITY 211028 300  162500-163000   00     232.81  776.7    229.51     0.58    -9999
MEXICOCITY 211028 300  163000-163500   00     232.22  776.6    228.82     0.28    -9999
MEXICOCITY 211028 300  163500-164000   00     232.64  776.6    229.24     0.46    -9999
