NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.72     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    226.45      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       211027 3600 000000-010000   00     215.66 1017.3    223.23    -1.42    -9999
NAIN       211027 3600 010000-020000   00     213.47 1017.7    221.65    -2.12    -9999
NAIN       211027 3600 020000-030000   00     214.33 1017.3    221.86    -2.03    -9999
NAIN       211027 3600 030000-040000   00     216.18 1017.0    223.13    -1.47    -9999
NAIN       211027 3600 040000-050000   00     215.63 1017.2    222.94    -1.55    -9999
NAIN       211027 3600 050000-060000   00     214.56 1017.3    221.98    -1.97    -9999
NAIN       211027 3600 060000-070000   00     214.14 1017.4    221.84    -2.03    -9999
NAIN       211027 3600 070000-080000   00     213.03 1018.0    221.54    -2.17    -9999
NAIN       211027 3600 080000-090000   00     212.57 1018.3    221.61    -2.13    -9999
NAIN       211027 3600 090000-100000   00     211.81 1018.5    221.20    -2.32    -9999
NAIN       211027 3600 100000-110000   00     212.02 1018.7    221.79    -2.06    -9999
NAIN       211027 3600 110000-120000   00     212.29 1018.9    222.29    -1.84    -9999
NAIN       211027 3600 120000-130000   00     212.74 1019.0    222.97    -1.54    -9999
NAIN       211027 3600 130000-140000   00     213.59 1019.2    224.27    -0.96    -9999
NAIN       211027 3600 140000-150000   00     214.64 1019.2    225.28    -0.51    -9999
NAIN       211027 3600 150000-160000   00     215.27 1018.8    225.36    -0.48    -9999
NAIN       211027 3600 160000-170000   00     215.73 1018.6    225.50    -0.42    -9999
NAIN       211027 3600 170000-180000   00     215.12 1018.5    224.53    -0.84    -9999
NAIN       211027 3600 180000-190000   00     214.51 1018.7    224.40    -0.90    -9999
NAIN       211027 3600 190000-200000   00     214.28 1018.8    224.25    -0.97    -9999
NAIN       211027 3600 200000-210000   00     213.70 1019.0    224.01    -1.08    -9999
NAIN       211027 3600 210000-220000   00     213.15 1019.3    223.87    -1.14    -9999
NAIN       211027 3600 220000-230000   00     212.36 1019.5    223.43    -1.33    -9999
NAIN       211027 3600 230000-240000   00     211.53 1019.8    222.99    -1.52    -9999
