NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1008.6  MB     COEFFICIENT   -0.735    % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     99.61      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     211027 3600 000000-010000   00     113.05  995.4     98.86    -0.75    -9999
NEWARK     211027 3600 010000-020000   00     113.50  995.4     99.25    -0.35    -9999
NEWARK     211027 3600 020000-030000   00     112.63  995.4     98.52    -1.09    -9999
NEWARK     211027 3600 030000-040000   00     113.30  995.5     99.18    -0.43    -9999
NEWARK     211027 3600 040000-050000   00     113.21  995.4     99.00    -0.61    -9999
NEWARK     211027 3600 050000-060000   00     112.74  995.8     98.84    -0.77    -9999
NEWARK     211027 3600 060000-070000   00     112.12  996.1     98.56    -1.05    -9999
NEWARK     211027 3600 070000-080000   00     112.18  996.4     98.80    -0.81    -9999
NEWARK     211027 3600 080000-090000   00     111.92  996.7     98.80    -0.81    -9999
NEWARK     211027 3600 090000-100000   00     111.78  996.9     98.85    -0.76    -9999
NEWARK     211027 3600 100000-110000   00     111.84  997.4     99.27    -0.34    -9999
NEWARK     211027 3600 110000-120000   00     110.81  997.8     98.63    -0.98    -9999
NEWARK     211027 3600 120000-130000   00     110.87  998.5     99.18    -0.42    -9999
NEWARK     211027 3600 130000-140000   00     110.89  999.0     99.54    -0.06    -9999
NEWARK     211027 3600 140000-150000   00     110.51  999.6     99.68     0.07    -9999
NEWARK     211027 3600 150000-160000   00     109.83 1000.6     99.74     0.14    -9999
NEWARK     211027 3600 160000-170000   00     109.38 1000.8     99.50    -0.11    -9999
NEWARK     211027 3600 170000-180000   00     109.53 1000.7     99.56    -0.05    -9999
NEWARK     211027 3600 180000-190000   00     109.71 1000.9     99.89     0.28    -9999
NEWARK     211027 3600 190000-200000   00     109.19 1001.4     99.72     0.12    -9999
NEWARK     211027 3600 200000-210000   00     107.64 1002.0     98.75    -0.86    -9999
NEWARK     211027 3600 210000-220000   00     107.30 1002.9     99.14    -0.46    -9999
NEWARK     211027 3600 220000-230000   00     106.46 1003.9     99.10    -0.51    -9999
NEWARK     211027 3600 230000-240000   00     105.81 1004.4     98.81    -0.79    -9999
NEWARK     211028 3600 000000-010000   00     105.46 1004.8     98.82    -0.79    -9999
NEWARK     211028 3600 010000-020000   00     105.57 1005.2     99.20    -0.41    -9999
NEWARK     211028 3600 020000-030000   00     104.98 1005.6     98.91    -0.70    -9999
NEWARK     211028 3600 030000-040000   00     103.46 1006.2     97.97    -1.65    -9999
NEWARK     211028 3600 040000-050000   00     103.85 1006.4     98.48    -1.13    -9999
NEWARK     211028 3600 050000-060000   00     103.16 1006.9     98.16    -1.45    -9999
NEWARK     211028 3600 060000-070000   00     103.14 1007.3     98.43    -1.18    -9999
NEWARK     211028 3600 070000-080000   00     103.00 1007.2     98.22    -1.39    -9999
NEWARK     211028 3600 080000-090000   00     103.57 1007.0     98.65    -0.96    -9999
NEWARK     211028 3600 090000-100000   00     103.50 1007.6     99.00    -0.61    -9999
NEWARK     211028 3600 100000-110000   00     103.86 1008.0     99.59    -0.02    -9999
NEWARK     211028 3600 110000-120000   00     103.63 1008.3     99.60    -0.01    -9999
NEWARK     211028 300  120000-120500   00     104.49 1008.7    100.71     1.11    -9999
NEWARK     211028 300  120500-121000   00     103.97 1008.8    100.29     0.69    -9999
NEWARK     211028 300  121000-121500   00     102.42 1008.9     98.87    -0.73    -9999
NEWARK     211028 300  121500-122000   00     103.57 1009.0    100.06     0.46    -9999
NEWARK     211028 300  122000-122500   00     101.77 1009.1     98.40    -1.21    -9999
NEWARK     211028 300  122500-123000   00     103.53 1009.0    100.03     0.43    -9999
NEWARK     211028 300  123000-123500   00     103.13 1009.0     99.62     0.01    -9999
NEWARK     211028 300  123500-124000   00     102.59 1008.9     99.08    -0.52    -9999
NEWARK     211028 300  124000-124500   00     104.15 1009.0    100.62     1.02    -9999
NEWARK     211028 300  124500-125000   00     102.45 1009.0     99.03    -0.58    -9999
NEWARK     211028 300  125000-125500   00     103.82 1009.0    100.31     0.71    -9999
NEWARK     211028 300  125500-130000   00     102.86 1009.0     99.39    -0.22    -9999
NEWARK     211028 300  130000-130500   00     103.18 1008.9     99.65     0.05    -9999
NEWARK     211028 300  130500-131000   00     104.15 1008.9    100.59     0.98    -9999
NEWARK     211028 300  131000-131500   00     103.13 1009.0     99.62     0.01    -9999
NEWARK     211028 300  131500-132000   00     103.04 1009.0     99.59    -0.02    -9999
NEWARK     211028 300  132000-132500   00     103.51 1009.1    100.07     0.47    -9999
NEWARK     211028 300  132500-133000   00     102.85 1009.1     99.44    -0.17    -9999
NEWARK     211028 300  133000-133500   00     103.52 1009.1    100.08     0.48    -9999
NEWARK     211028 300  133500-134000   00     103.19 1009.1     99.77     0.17    -9999
NEWARK     211028 300  134000-134500   00     103.64 1009.1    100.23     0.63    -9999
NEWARK     211028 300  134500-135000   00     103.11 1009.1     99.72     0.12    -9999
NEWARK     211028 300  135000-135500   00     103.32 1009.2     99.96     0.36    -9999
NEWARK     211028 300  135500-140000   00     102.90 1009.1     99.54    -0.07    -9999
NEWARK     211028 300  140000-140500   00     104.56 1009.1    101.13     1.53    -9999
NEWARK     211028 300  140500-141000   00     103.44 1009.3    100.14     0.53    -9999
NEWARK     211028 300  141000-141500   00     102.04 1009.3     98.79    -0.82    -9999
NEWARK     211028 300  141500-142000   00     102.67 1009.3     99.41    -0.20    -9999
NEWARK     211028 300  142000-142500   00     102.49 1009.3     99.23    -0.37    -9999
NEWARK     211028 300  142500-143000   00     101.19 1009.3     97.98    -1.64    -9999
NEWARK     211028 300  143000-143500   00     102.56 1009.3     99.30    -0.30    -9999
