OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE    112.25      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       211027 3600 000000-010000   00     112.09  997.8    110.52    -1.54    -9999
OULU       211027 3600 010000-020000   00     112.08  997.8    110.47    -1.59    -9999
OULU       211027 3600 020000-030000   00     111.93  998.0    110.49    -1.57    -9999
OULU       211027 3600 030000-040000   00     111.61  998.5    110.56    -1.50    -9999
OULU       211027 3600 040000-050000   00     111.48  998.6    110.58    -1.49    -9999
OULU       211027 3600 050000-060000   00     111.39  998.6    110.46    -1.59    -9999
OULU       211027 3600 060000-070000   00     111.57  998.7    110.69    -1.39    -9999
OULU       211027 3600 070000-080000   00     111.90  999.0    111.30    -0.85    -9999
OULU       211027 3600 080000-090000   00     112.51  999.1    112.00    -0.23    -9999
OULU       211027 3600 090000-100000   00     113.17  999.3    112.80     0.49    -9999
OULU       211027 3600 100000-110000   00     112.51  999.5    112.31     0.05    -9999
OULU       211027 3600 110000-120000   00     112.47  999.3    112.11    -0.12    -9999
OULU       211027 3600 120000-130000   00     112.40  999.1    111.89    -0.32    -9999
OULU       211027 3600 130000-140000   00     112.50  998.9    111.82    -0.38    -9999
OULU       211027 3600 140000-150000   00     112.91  998.8    112.14    -0.09    -9999
OULU       211027 3600 150000-160000   00     112.66  998.5    111.60    -0.58    -9999
OULU       211027 3600 160000-170000   00     112.77  998.3    111.56    -0.61    -9999
OULU       211027 3600 170000-180000   00     112.16  998.4    111.09    -1.03    -9999
OULU       211027 3600 180000-190000   00     111.59  998.8    110.78    -1.31    -9999
OULU       211027 3600 190000-200000   00     111.52  999.0    110.89    -1.21    -9999
OULU       211027 3600 200000-210000   00     110.53  999.4    110.23    -1.80    -9999
OULU       211027 3600 210000-220000   00     110.69  999.8    110.76    -1.32    -9999
OULU       211027 3600 220000-230000   00     110.33 1000.3    110.75    -1.34    -9999
OULU       211027 3600 230000-000000   00     109.96 1000.9    110.88    -1.22    -9999
OULU       211028 3600 000000-010000   00     109.35 1001.5    110.78    -1.30    -9999
OULU       211028 3600 010000-020000   00     108.81 1001.9    110.60    -1.47    -9999
OULU       211028 3600 020000-030000   00     108.29 1002.5    110.54    -1.52    -9999
OULU       211028 3600 030000-040000   00     108.13 1003.1    110.81    -1.28    -9999
OULU       211028 3600 040000-050000   00     108.16 1003.5    111.21    -0.92    -9999
OULU       211028 3600 050000-060000   00     108.72 1003.5    111.76    -0.44    -9999
OULU       211028 3600 060000-070000   00     108.85 1003.9    112.26     0.01    -9999
OULU       211028 3600 070000-080000   00     109.33 1004.1    112.94     0.62    -9999
OULU       211028 3600 080000-090000   00     109.07 1003.8    112.41     0.15    -9999
OULU       211028 3600 090000-100000   00     109.25 1003.5    112.30     0.04    -9999
OULU       211028 3600 100000-110000   00     109.69 1003.3    112.60     0.32    -9999
OULU       211028 3600 110000-120000   00     110.18 1002.8    112.69     0.39    -9999
OULU       211028 300  120000-120500   00     110.28 1002.4    112.45     0.18    -9999
OULU       211028 300  120500-121000   00     110.14 1002.3    112.21    -0.04    -9999
OULU       211028 300  121000-121500   00     110.45 1002.2    112.45     0.18    -9999
OULU       211028 300  121500-122000   00     109.87 1002.1    111.83    -0.37    -9999
OULU       211028 300  122000-122500   00     110.23 1002.2    112.25     0.01    -9999
OULU       211028 300  122500-123000   00     111.61 1002.2    113.66     1.26    -9999
OULU       211028 300  123000-123500   00     108.41 1002.2    110.42    -1.63    -9999
OULU       211028 300  123500-124000   00     110.57 1002.2    112.62     0.33    -9999
OULU       211028 300  124000-124500   00     110.84 1002.3    112.92     0.60    -9999
OULU       211028 300  124500-125000   00     109.84 1002.2    111.83    -0.37    -9999
OULU       211028 300  125000-125500   00     110.11 1002.2    112.13    -0.11    -9999
OULU       211028 300  125500-130000   00     109.97 1002.1    111.94    -0.28    -9999
OULU       211028 300  130000-130500   00     111.18 1002.2    113.24     0.88    -9999
OULU       211028 300  130500-131000   00     111.14 1002.3    113.22     0.87    -9999
OULU       211028 300  131000-131500   00     110.47 1002.3    112.56     0.27    -9999
OULU       211028 300  131500-132000   00     110.69 1002.2    112.74     0.44    -9999
OULU       211028 300  132000-132500   00     110.98 1002.2    113.03     0.70    -9999
OULU       211028 300  132500-133000   00     110.84 1002.2    112.89     0.57    -9999
OULU       211028 300  133000-133500   00     109.04 1002.2    111.03    -1.09    -9999
OULU       211028 300  133500-134000   00     110.66 1002.1    112.59     0.31    -9999
OULU       211028 300  134000-134500   00     110.62 1002.0    112.50     0.22    -9999
OULU       211028 300  134500-135000   00     111.17 1002.1    113.08     0.75    -9999
OULU       211028 300  135000-135500   00     109.16 1002.0    110.96    -1.15    -9999
OULU       211028 300  135500-140000   00     109.07 1001.9    110.78    -1.30    -9999
OULU       211028 300  140000-140500   00     111.74 1001.8    113.48     1.09    -9999
OULU       211028 300  140500-141000   00     111.66 1001.9    113.47     1.09    -9999
OULU       211028 300  141000-141500   00     109.62 1001.9    111.37    -0.78    -9999
OULU       211028 300  141500-142000   00     109.33 1002.0    111.13    -0.99    -9999
OULU       211028 300  142000-142500   00     110.73 1002.0    112.58     0.30    -9999
OULU       211028 300  142500-143000   00     109.78 1002.0    111.60    -0.58    -9999
OULU       211028 300  143000-143500   00     109.42 1001.9    111.17    -0.96    -9999
OULU       211028 300  143500-144000   00     110.18 1001.8    111.89    -0.32    -9999
OULU       211028 300  144000-144500   00     110.67 1001.8    112.37     0.11    -9999
OULU       211028 300  144500-145000   00     109.46 1001.8    111.16    -0.97    -9999
OULU       211028 300  145000-145500   00     112.13 1001.7    113.78     1.36    -9999
OULU       211028 300  145500-150000   00     109.77 1001.6    111.30    -0.84    -9999
OULU       211028 300  150000-150500   00     110.28 1001.7    111.91    -0.30    -0.21
OULU       211028 300  150500-151000   00     108.82 1001.8    110.50    -1.55    -1.45
OULU       211028 300  151000-151500   00     110.62 1001.8    112.35     0.09     0.19
OULU       211028 300  151500-152000   00     108.59 1001.8    110.27    -1.77    -1.66
OULU       211028 300  152000-152500   00     111.71 1001.9    113.48     1.10     1.22
OULU       211028 300  152500-153000   00     110.92 1001.9    112.69     0.39     0.52
OULU       211028 300  153000-153500   00     110.83 1001.9    112.58     0.30     0.43
OULU       211028 300  153500-154000   00     109.10 1001.9    110.84    -1.25    -1.11
OULU       211028 300  154000-154500   00     110.72 1001.9    112.54     0.26     0.41
OULU       211028 300  154500-155000   00     110.64 1001.9    112.45     0.18     0.33
OULU       211028 300  155000-155500   00     110.28 1002.0    112.14    -0.09     0.07
OULU       211028 300  155500-160000   00     110.00 1002.0    111.86    -0.35    -0.18
OULU       211028 300  160000-160500   00     112.29 1001.9    114.08     1.63     1.81
OULU       211028 300  160500-161000   00     111.76 1001.8    113.46     1.08     1.26
OULU       211028 300  161000-161500   00     109.99 1001.7    111.62    -0.56    -0.37
OULU       211028 300  161500-162000   00     110.61 1001.7    112.23    -0.01     0.19
OULU       211028 300  162000-162500   00     111.94 1001.7    113.58     1.19     1.40
OULU       211028 300  162500-163000   00     112.07 1001.6    113.59     1.20     1.41
OULU       211028 300  163000-163500   00     112.73 1001.6    114.27     1.80     2.02
OULU       211028 300  163500-164000   00     110.81 1001.6    112.29     0.04     0.27
OULU       211028 300  164000-164500   00     113.86 1001.6    115.44     2.85     3.09
OULU       211028 300  164500-165000   00     112.78 1001.6    114.31     1.84     2.08
OULU       211028 300  165000-165500   00     112.62 1001.6    114.14     1.69     1.94
OULU       211028 300  165500-170000   00     112.10 1001.5    113.58     1.18     1.44
OULU       211028 300  170000-170500   00     114.15 1001.4    115.58     2.97     3.24
OULU       211028 300  170500-171000   00     112.81 1001.4    114.20     1.74     2.01
OULU       211028 300  171000-171500   00     111.10 1001.4    112.48     0.21     0.49
OULU       211028 300  171500-172000   00     112.54 1001.4    113.89     1.46     1.75
OULU       211028 300  172000-172500   00     113.24 1001.4    114.61     2.10     2.40
OULU       211028 300  172500-173000   00     113.14 1001.4    114.53     2.04     2.34
OULU       211028 300  173000-173500   00     113.03 1001.4    114.43     1.95     2.26
OULU       211028 300  173500-174000   00     113.49 1001.3    114.82     2.29     2.61
OULU       211028 300  174000-174500   00     113.25 1001.2    114.48     1.99     2.31
OULU       211028 300  174500-175000   00     113.28 1001.1    114.43     1.95     2.28
OULU       211028 300  175000-175500   00     113.04 1001.1    114.13     1.68     2.02
OULU       211028 300  175500-180000   00     111.23 1001.0    112.25     0.00     0.35
OULU       211028 300  180000-180500   00     111.93 1000.9    112.91     0.59     0.94
OULU       211028 300  180500-181000   00     112.73 1000.9    113.73     1.32     1.68
OULU       211028 300  181000-181500   00     112.78 1001.0    113.85     1.42     1.79
OULU       211028 300  181500-182000   00     112.52 1001.0    113.61     1.21     1.59
OULU       211028 300  182000-182500   00     111.68 1001.1    112.78     0.47     0.85
OULU       211028 300  182500-183000   00     112.65 1001.0    113.74     1.33     1.72
OULU       211028 300  183000-183500   00     112.78 1000.9    113.71     1.30     1.70
OULU       211028 300  183500-184000   00     111.70 1000.8    112.57     0.29     0.70
OULU       211028 300  184000-184500   00     113.30 1000.8    114.19     1.73     2.14
OULU       211028 300  184500-185000   00     111.04 1000.7    111.86    -0.34     0.08
OULU       211028 300  185000-185500   00     111.95 1000.7    112.76     0.46     0.89
OULU       211028 300  185500-190000   00     111.54 1000.6    112.27     0.02     0.46
OULU       211028 300  190000-190500   00     111.22 1000.6    111.95    -0.26     0.18
OULU       211028 300  190500-191000   00     111.08 1000.7    111.85    -0.36     0.09
OULU       211028 300  191000-191500   00     112.86 1000.6    113.61     1.21     1.67
OULU       211028 300  191500-192000   00     111.64 1000.6    112.32     0.07     0.53
OULU       211028 300  192000-192500   00     110.76 1000.5    111.35    -0.80    -0.33
OULU       211028 300  192500-193000   00     111.71 1000.4    112.26     0.01     0.49
OULU       211028 300  193000-193500   00     112.75 1000.4    113.30     0.94     1.43
OULU       211028 300  193500-194000   00     111.08 1000.4    111.63    -0.55    -0.06
OULU       211028 300  194000-194500   00     108.60 1000.4    109.16    -2.75    -2.25
OULU       211028 300  194500-195000   00     111.34 1000.5    111.94    -0.27     0.24
OULU       211028 300  195000-195500   00     112.34 1000.5    113.00     0.67     1.19
OULU       211028 300  195500-200000   00     109.93 1000.5    110.56    -1.51    -0.99
OULU       211028 300  200000-200500   00     111.95 1000.5    112.58     0.29     0.82
OULU       211028 300  200500-201000   00     112.88 1000.4    113.44     1.06     1.60
OULU       211028 300  201000-201500   00     111.85 1000.4    112.35     0.09     0.64
OULU       211028 300  201500-202000   00     111.93 1000.2    112.32     0.06     0.61
OULU       211028 300  202000-202500   00     111.30 1000.2    111.70    -0.48     0.08
OULU       211028 300  202500-203000   00     112.55 1000.3    113.00     0.67     1.24
OULU       211028 300  203000-203500   00     111.32 1000.2    111.69    -0.50     0.08
OULU       211028 300  203500-204000   00     111.28 1000.2    111.66    -0.53     0.05
OULU       211028 300  204000-204500   00     110.82 1000.1    111.14    -0.98    -0.39
OULU       211028 300  204500-205000   00     110.49 1000.1    110.77    -1.32    -0.72
OULU       211028 300  205000-205500   00     110.99 1000.1    111.25    -0.88    -0.27
OULU       211028 300  205500-210000   00     111.08 1000.0    111.28    -0.86    -0.25
OULU       211028 300  210000-210500   00     111.94 1000.0    112.12    -0.11    -9999
OULU       211028 300  210500-211000   00     110.70  999.8    110.77    -1.32    -9999
OULU       211028 300  211000-211500   00     112.19  999.8    112.19    -0.05    -9999
OULU       211028 300  211500-212000   00     110.59  999.8    110.63    -1.44    -9999
OULU       211028 300  212000-212500   00     112.41  999.9    112.51     0.23    -9999
OULU       211028 300  212500-213000   00     111.24  999.9    111.35    -0.80    -9999
OULU       211028 300  213000-213500   00     110.80  999.9    110.92    -1.18    -9999
OULU       211028 300  213500-214000   00     110.47  999.9    110.58    -1.49    -9999
OULU       211028 300  214000-214500   00     110.16  999.9    110.24    -1.79    -9999
OULU       211028 300  214500-215000   00     111.90  999.9    111.99    -0.23    -9999
OULU       211028 300  215000-215500   00     110.74  999.8    110.82    -1.28    -9999
OULU       211028 300  215500-220000   00     111.76  999.8    111.81    -0.39    -9999
OULU       211028 300  220000-220500   00     111.45  999.7    111.44    -0.72    -9999
OULU       211028 300  220500-221000   00     111.78  999.7    111.76    -0.44    -9999
OULU       211028 300  221000-221500   00     112.23  999.7    112.18    -0.06    -9999
OULU       211028 300  221500-222000   00     110.85  999.5    110.67    -1.41    -9999
OULU       211028 300  222000-222500   00     111.55  999.4    111.25    -0.89    -9999
OULU       211028 300  222500-223000   00     113.07  999.3    112.68     0.38    -9999
OULU       211028 300  223000-223500   00     109.96  999.2    109.55    -2.41    -9999
OULU       211028 300  223500-224000   00     111.91  999.3    111.51    -0.66    -9999
OULU       211028 300  224000-224500   00     110.81  999.3    110.43    -1.62    -9999
OULU       211028 300  224500-225000   00     112.65  999.3    112.24    -0.01    -9999
OULU       211028 300  225000-225500   00     112.11  999.3    111.73    -0.46    -9999
OULU       211028 300  225500-230000   00     112.78  999.3    112.44     0.17    -9999
OULU       211028 300  230000-230500   00     112.18  999.4    111.87    -0.33    -9999
OULU       211028 300  230500-231000   00     110.69  999.5    110.45    -1.60    -9999
OULU       211028 300  231000-231500   00     111.72  999.4    111.46    -0.70    -9999
OULU       211028 300  231500-232000   00     111.83  999.4    111.51    -0.66    -9999
OULU       211028 300  232000-232500   00     111.50  999.3    111.16    -0.97    -9999
