ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009    mb     COEFFICIENT   -0.705    % / mb
ROME       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    127.58      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ROME       211027 3600 000000-010000   00     117.91 1018.9    126.08    -1.36    -9999
ROME       211027 3600 010000-020000   00     118.52 1018.7    126.61    -0.95    -9999
ROME       211027 3600 020000-030000   00     118.32 1018.7    126.40    -1.11    -9999
ROME       211027 3600 030000-040000   00     118.32 1018.8    126.50    -1.03    -9999
ROME       211027 3600 040000-050000   00     119.08 1019.1    127.54    -0.21    -9999
ROME       211027 3600 050000-060000   00     118.87 1019.3    127.52    -0.23    -9999
ROME       211027 3600 060000-070000   00     118.33 1019.9    127.47    -0.27    -9999
ROME       211027 3600 070000-080000   00     118.03 1020.4    127.55    -0.21    -9999
ROME       211027 3600 080000-090000   00     117.98 1020.5    127.61    -0.16    -9999
ROME       211027 3600 090000-100000   00     117.96 1020.6    127.68    -0.10    -9999
ROME       211027 3600 100000-110000   00     118.30 1020.5    127.92     0.08    -9999
ROME       211027 3600 110000-120000   00     118.25 1020.0    127.49    -0.25    -9999
ROME       211027 3600 120000-130000   00     118.98 1019.4    127.69    -0.10    -9999
ROME       211027 3600 130000-140000   00     119.60 1019.0    128.01     0.15    -9999
ROME       211027 3600 140000-150000   00     119.53 1018.7    127.67    -0.11    -9999
ROME       211027 3600 150000-160000   00     118.94 1018.6    126.94    -0.68    -9999
ROME       211027 3600 160000-170000   00     118.49 1018.7    126.55    -0.99    -9999
ROME       211027 3600 170000-180000   00     118.66 1019.0    127.00    -0.64    -9999
ROME       211027 3600 180000-190000   00     117.74 1019.4    126.41    -1.10    -9999
