SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.97      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE     86.66      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      211027 3600 000000-010000   00      94.05  857.0     82.13    -5.23    -9999
SANAE      211027 3600 010000-020000   00      93.79  858.8     82.71    -4.56    -9999
SANAE      211027 3600 020000-030000   00      92.99  860.4     82.78    -4.48    -9999
SANAE      211027 3600 030000-040000   00      92.48  862.4     83.08    -4.14    -9999
SANAE      211027 3600 040000-050000   00      91.80  864.1     83.21    -3.98    -9999
SANAE      211027 3600 050000-060000   00      91.00  865.8     83.21    -3.97    -9999
SANAE      211027 3600 060000-070000   00      90.87  866.5     83.41    -3.75    -9999
SANAE      211027 3600 070000-080000   00      90.30  868.2     83.60    -3.53    -9999
SANAE      211027 3600 080000-090000   00      90.19  869.1     83.92    -3.16    -9999
SANAE      211027 3600 090000-100000   00      89.76  870.0     83.92    -3.16    -9999
SANAE      211027 3600 100000-110000   00      90.01  870.9     84.54    -2.44    -9999
SANAE      211027 3600 110000-120000   00      89.94  871.0     84.55    -2.43    -9999
SANAE      211027 3600 120000-130000   00      89.70  871.8     84.64    -2.32    -9999
SANAE      211027 3600 130000-140000   00      89.53  871.9     84.58    -2.40    -9999
SANAE      211027 3600 140000-150000   00      89.74  871.7     84.70    -2.26    -9999
SANAE      211027 3600 150000-160000   00      89.88  871.6     84.80    -2.14    -9999
SANAE      211027 3600 160000-170000   00      89.78  871.6     84.71    -2.25    -9999
SANAE      211027 3600 170000-180000   00      89.93  871.8     84.98    -1.94    -9999
SANAE      211027 3600 180000-190000   00      89.52  871.8     84.60    -2.38    -9999
SANAE      211027 3600 190000-200000   00      89.61  872.0     84.77    -2.18    -9999
SANAE      211027 3600 200000-210000   00      89.20  872.6     84.69    -2.28    -9999
SANAE      211027 3600 210000-220000   00      89.03  873.3     84.78    -2.16    -9999
SANAE      211027 3600 220000-230000   00      88.36  874.1     84.51    -2.48    -9999
SANAE      211027 3600 230000-000000   00      89.19  875.7     85.09    -1.81    -9999
SANAE      211028 3600 000000-010000   00      87.57  876.7     84.90    -2.02    -9999
SANAE      211028 3600 010000-020000   00      87.35  877.6     85.06    -1.85    -9999
SANAE      211028 3600 020000-030000   00      86.95  878.6     85.07    -1.83    -9999
SANAE      211028 3600 030000-040000   00      86.93  879.2     85.23    -1.65    -9999
SANAE      211028 3600 040000-050000   00      86.36  880.0     85.06    -1.84    -9999
SANAE      211028 3600 050000-060000   00      86.41  881.0     85.53    -1.31    -9999
SANAE      211028 3600 060000-070000   00      86.31  881.5     85.65    -1.16    -9999
SANAE      211028 3600 070000-080000   00      86.04  882.2     85.71    -1.10    -9999
SANAE      211028 3600 080000-090000   00      86.56  883.2     86.58    -0.10    -9999
SANAE      211028 3600 090000-100000   00      86.77  883.5     86.95     0.33    -9999
SANAE      211028 3600 100000-110000   00      85.77  883.6     86.00    -0.77    -9999
SANAE      211028 3600 110000-120000   00      86.54  883.8     86.85     0.22    -9999
SANAE      211028 300  120000-120500   00      86.19  883.7     86.45    -0.24    -9999
SANAE      211028 300  120500-121000   00      85.43  883.7     85.76    -1.04    -9999
SANAE      211028 300  121000-121500   00      84.30  883.8     84.69    -2.28    -9999
SANAE      211028 300  121500-122000   00      86.88  883.8     87.18     0.60    -9999
SANAE      211028 300  122000-122500   00      85.94  884.0     86.31    -0.40    -9999
SANAE      211028 300  122500-123000   00      85.18  883.9     85.58    -1.25    -9999
SANAE      211028 300  123000-123500   00      86.04  883.8     86.41    -0.29    -9999
SANAE      211028 300  123500-124000   00      86.13  884.0     86.49    -0.19    -9999
SANAE      211028 300  124000-124500   00      86.50  884.1     86.96     0.35    -9999
SANAE      211028 300  124500-125000   00      85.06  884.1     85.56    -1.26    -9999
SANAE      211028 300  125000-125500   00      85.15  884.1     85.62    -1.20    -9999
SANAE      211028 300  125500-130000   00      85.59  884.1     86.02    -0.74    -9999
SANAE      211028 300  130000-130500   00      85.99  884.2     86.47    -0.21    -9999
SANAE      211028 300  130500-131000   00      85.52  884.2     86.06    -0.69    -9999
SANAE      211028 300  131000-131500   00      85.32  884.3     85.81    -0.97    -9999
SANAE      211028 300  131500-132000   00      84.93  884.3     85.42    -1.43    -9999
SANAE      211028 300  132000-132500   00      85.41  884.4     85.94    -0.82    -9999
SANAE      211028 300  132500-133000   00      85.97  884.4     86.57    -0.10    -9999
SANAE      211028 300  133000-133500   00      86.03  884.5     86.63    -0.03    -9999
SANAE      211028 300  133500-134000   00      85.44  884.5     86.06    -0.69    -9999
SANAE      211028 300  134000-134500   00      86.52  884.5     87.15     0.57    -9999
SANAE      211028 300  134500-135000   00      85.86  884.6     86.49    -0.20    -9999
SANAE      211028 300  135000-135500   00      86.08  884.6     86.81     0.17    -9999
SANAE      211028 300  135500-140000   00      86.08  884.7     86.79     0.15    -9999
SANAE      211028 300  140000-140500   00      84.44  884.7     85.16    -1.73    -9999
SANAE      211028 300  140500-141000   00      86.09  884.8     86.79     0.15    -9999
SANAE      211028 300  141000-141500   00      85.49  884.8     86.17    -0.56    -9999
SANAE      211028 300  141500-142000   00      86.28  884.8     87.00     0.39    -9999
SANAE      211028 300  142000-142500   00      87.35  884.8     88.16     1.73    -9999
SANAE      211028 300  142500-143000   00      85.85  884.8     86.57    -0.10    -9999
SANAE      211028 300  143000-143500   00      86.85  884.8     87.63     1.12    -9999
SANAE      211028 300  143500-144000   00      85.43  884.8     86.13    -0.60    -9999
SANAE      211028 300  144000-144500   00      87.75  884.8     88.50     2.13    -9999
SANAE      211028 300  144500-145000   00      87.40  884.8     88.15     1.72    -9999
SANAE      211028 300  145000-145500   00      86.01  884.8     86.71     0.06    -9999
SANAE      211028 300  145500-150000   00      86.00  884.8     86.63    -0.03    -9999
SANAE      211028 300  150000-150500   00      86.05  884.7     86.69     0.04     0.11
SANAE      211028 300  150500-151000   00      85.03  884.6     85.65    -1.16    -1.08
SANAE      211028 300  151000-151500   00      85.21  884.6     85.97    -0.80    -0.71
SANAE      211028 300  151500-152000   00      85.72  884.5     86.30    -0.41    -0.32
SANAE      211028 300  152000-152500   00      86.78  884.4     87.43     0.89     0.98
SANAE      211028 300  152500-153000   00      85.89  884.4     86.53    -0.15    -0.05
SANAE      211028 300  153000-153500   00      86.95  884.4     87.56     1.04     1.14
SANAE      211028 300  153500-154000   00      86.04  884.4     86.63    -0.03     0.08
SANAE      211028 300  154000-154500   00      87.62  884.4     88.25     1.83     1.95
SANAE      211028 300  154500-155000   00      86.67  884.5     87.24     0.67     0.79
SANAE      211028 300  155000-155500   00      87.42  884.5     87.98     1.53     1.66
SANAE      211028 300  155500-160000   00      85.88  884.5     86.51    -0.17    -0.03
SANAE      211028 300  160000-160500   00      88.29  884.6     88.90     2.59     2.73
SANAE      211028 300  160500-161000   00      87.81  884.6     88.50     2.13     2.27
SANAE      211028 300  161000-161500   00      86.00  884.5     86.64    -0.02     0.14
SANAE      211028 300  161500-162000   00      86.90  884.5     87.55     1.03     1.19
SANAE      211028 300  162000-162500   00      88.04  884.5     89.30     3.04     3.21
SANAE      211028 300  162500-163000   00      88.15  884.6     88.82     2.50     2.67
SANAE      211028 300  163000-163500   00      87.26  884.6     87.98     1.53     1.70
SANAE      211028 300  163500-164000   00      88.15  884.6     88.78     2.45     2.63
SANAE      211028 300  164000-164500   00      87.51  884.7     88.18     1.75     1.94
SANAE      211028 300  164500-165000   00      87.64  884.7     88.33     1.93     2.12
SANAE      211028 300  165000-165500   00      89.11  884.7     89.82     3.65     3.85
SANAE      211028 300  165500-170000   00      88.18  884.7     88.91     2.60     2.80
SANAE      211028 300  170000-170500   00      88.43  884.7     89.09     2.81     3.02
SANAE      211028 300  170500-171000   00      87.32  884.7     87.95     1.49     1.71
SANAE      211028 300  171000-171500   00      87.68  884.8     88.38     1.98     2.21
SANAE      211028 300  171500-172000   00      87.23  884.7     87.94     1.47     1.70
SANAE      211028 300  172000-172500   00      89.99  884.7     90.66     4.62     4.86
SANAE      211028 300  172500-173000   00      88.59  884.6     89.25     3.00     3.24
SANAE      211028 300  173000-173500   00      88.87  884.7     89.55     3.33     3.58
SANAE      211028 300  173500-174000   00      87.85  884.7     88.52     2.15     2.40
SANAE      211028 300  174000-174500   00      87.82  884.8     88.44     2.06     2.32
SANAE      211028 300  174500-175000   00      88.37  884.8     89.08     2.80     3.06
SANAE      211028 300  175000-175500   00      88.90  884.9     89.61     3.41     3.68
SANAE      211028 300  175500-180000   00      86.94  884.9     87.69     1.19     1.47
SANAE      211028 300  180000-180500   00      86.78  884.8     87.52     0.99     1.27
SANAE      211028 300  180500-181000   00      87.09  884.9     87.87     1.40     1.68
SANAE      211028 300  181000-181500   00      88.21  884.9     88.97     2.67     2.96
SANAE      211028 300  181500-182000   00      87.90  885.0     88.67     2.33     2.62
SANAE      211028 300  182000-182500   00      86.10  885.0     86.92     0.30     0.60
SANAE      211028 300  182500-183000   00      88.15  884.9     88.94     2.63     2.94
SANAE      211028 300  183000-183500   00      87.76  884.8     88.43     2.04     2.36
SANAE      211028 300  183500-184000   00      87.36  884.8     88.08     1.64     1.96
SANAE      211028 300  184000-184500   00      86.55  884.8     87.33     0.78     1.10
SANAE      211028 300  184500-185000   00      87.08  884.8     87.78     1.29     1.63
SANAE      211028 300  185000-185500   00      87.27  884.7     87.93     1.47     1.81
SANAE      211028 300  185500-190000   00      86.80  884.7     87.47     0.93     1.28
SANAE      211028 300  190000-190500   00      86.62  884.7     87.35     0.80     1.15
SANAE      211028 300  190500-191000   00      86.69  884.7     87.42     0.88     1.24
SANAE      211028 300  191000-191500   00      87.93  884.8     88.56     2.19     2.56
SANAE      211028 300  191500-192000   00      86.98  884.8     87.72     1.23     1.60
SANAE      211028 300  192000-192500   00      86.54  884.8     87.27     0.70     1.08
SANAE      211028 300  192500-193000   00      87.02  884.8     87.76     1.27     1.65
SANAE      211028 300  193000-193500   00      87.77  884.8     88.48     2.10     2.49
SANAE      211028 300  193500-194000   00      86.41  884.7     87.03     0.43     0.83
SANAE      211028 300  194000-194500   00      87.78  884.6     88.42     2.04     2.44
SANAE      211028 300  194500-195000   00      86.99  884.7     87.70     1.21     1.61
SANAE      211028 300  195000-195500   00      87.55  884.8     88.23     1.81     2.22
SANAE      211028 300  195500-200000   00      86.11  884.8     86.91     0.29     0.71
SANAE      211028 300  200000-200500   00      87.67  884.9     88.50     2.12     2.54
SANAE      211028 300  200500-201000   00      86.34  884.9     87.05     0.45     0.88
SANAE      211028 300  201000-201500   00      86.46  884.9     87.21     0.64     1.07
SANAE      211028 300  201500-202000   00      85.03  885.0     85.80    -0.99    -0.55
SANAE      211028 300  202000-202500   00      87.74  885.0     88.54     2.18     2.62
SANAE      211028 300  202500-203000   00      86.75  885.0     87.46     0.92     1.37
SANAE      211028 300  203000-203500   00      85.94  885.0     86.78     0.14     0.60
SANAE      211028 300  203500-204000   00      85.70  885.1     86.57    -0.10     0.36
SANAE      211028 300  204000-204500   00      86.75  885.1     87.66     1.16     1.62
SANAE      211028 300  204500-205000   00      85.43  885.1     86.30    -0.42     0.06
SANAE      211028 300  205000-205500   00      86.74  885.0     87.53     1.01     1.49
SANAE      211028 300  205500-210000   00      86.74  885.0     87.54     1.02     1.51
SANAE      211028 300  210000-210500   00      86.69  885.0     87.51     0.99     1.48
SANAE      211028 300  210500-211000   00      86.70  885.0     87.56     1.04     1.54
SANAE      211028 300  211000-211500   00      87.20  885.0     88.03     1.58     2.09
SANAE      211028 300  211500-212000   00      87.79  885.0     88.61     2.25     2.76
SANAE      211028 300  212000-212500   00      86.38  885.1     87.22     0.65     1.16
SANAE      211028 300  212500-213000   00      86.88  885.0     87.68     1.17     1.69
SANAE      211028 300  213000-213500   00      85.63  884.9     86.39    -0.31     0.22
SANAE      211028 300  213500-214000   00      86.83  884.9     87.54     1.02     1.55
SANAE      211028 300  214000-214500   00      87.74  884.8     89.11     2.82     3.36
SANAE      211028 300  214500-215000   00      87.81  884.7     88.44     2.05     2.60
SANAE      211028 300  215000-215500   00      86.88  884.6     87.52     1.00     1.55
SANAE      211028 300  215500-220000   00      87.57  884.6     88.24     1.82     2.38
SANAE      211028 300  220000-220500   00      87.17  884.6     87.78     1.29     1.85
SANAE      211028 300  220500-221000   00      85.76  884.6     86.40    -0.30     0.27
SANAE      211028 300  221000-221500   00      85.73  884.6     86.35    -0.35     0.22
SANAE      211028 300  221500-222000   00      86.02  884.6     86.64    -0.02     0.56
SANAE      211028 300  222000-222500   00      85.06  884.6     85.72    -1.09    -0.50
SANAE      211028 300  222500-223000   00      86.37  884.5     86.97     0.36     0.95
SANAE      211028 300  223000-223500   00      86.64  884.5     87.19     0.61     1.21
SANAE      211028 300  223500-224000   00      86.53  884.6     87.15     0.57     1.17
SANAE      211028 300  224000-224500   00      85.92  884.6     86.57    -0.11     0.50
SANAE      211028 300  224500-225000   00      87.36  884.5     87.91     1.44     2.06
SANAE      211028 300  225000-225500   00      84.79  884.5     85.32    -1.55    -0.92
SANAE      211028 300  225500-230000   00      85.96  884.4     86.58    -0.09     0.54
SANAE      211028 300  230000-230500   00      87.17  884.3     87.72     1.22     1.86
SANAE      211028 300  230500-231000   00      87.02  884.3     87.43     0.89     1.53
SANAE      211028 300  231000-231500   00      84.81  884.3     85.25    -1.62    -0.98
SANAE      211028 300  231500-232000   00      86.66  884.3     87.20     0.62     1.27
SANAE      211028 300  232000-232500   00      86.42  884.2     86.86     0.23     0.89
SANAE      211028 300  232500-233000   00      86.29  884.2     86.70     0.05     0.71
SANAE      211028 300  233000-233500   00      84.46  884.2     84.96    -1.96    -1.30
SANAE      211028 300  233500-234000   00      85.53  884.2     85.93    -0.84    -0.17
SANAE      211028 300  234000-234500   00      85.77  884.2     86.24    -0.49     0.19
SANAE      211028 300  234500-235000   00      86.70  884.2     87.15     0.56     1.25
SANAE      211028 300  235000-235500   00      85.62  884.1     86.06    -0.69     0.01
SANAE      211028 300  235500-000000   00      84.99  884.1     85.45    -1.40    -0.70
SANAE      211029 3600 000000-010000   00      86.13  883.8     86.44    -0.26    -9999
SANAE      211029 3600 010000-020000   00      85.84  883.3     85.98    -0.79    -9999
SANAE      211029 3600 020000-030000   00      85.97  882.9     85.84    -0.95    -9999
SANAE      211029 3600 030000-040000   00      86.30  882.2     85.85    -0.93    -9999
SANAE      211029 3600 040000-050000   00      86.46  881.5     85.77    -1.03    -9999
SANAE      211029 3600 050000-060000   00      86.65  881.0     85.72    -1.09    -9999
SANAE      211029 3600 060000-070000   00      87.19  880.4     86.00    -0.76    -9999
SANAE      211029 3600 070000-080000   00      87.46  880.0     86.08    -0.67    -9999
SANAE      211029 3600 080000-090000   00      88.35  879.6     86.75     0.10    -9999
SANAE      211029 3600 090000-100000   00      88.44  879.4     86.75     0.11    -9999
SANAE      211029 3600 100000-110000   00      88.14  879.3     86.43    -0.27    -9999
SANAE      211029 3600 110000-120000   00      88.56  879.1     86.72     0.07    -9999
SANAE      211029 3600 120000-130000   00      88.67  878.6     86.65    -0.01    -9999
SANAE      211029 3600 130000-140000   00      89.37  878.4     87.21     0.64    -9999
SANAE      211029 3600 140000-150000   00      89.16  877.9     86.74     0.10    -9999
SANAE      211029 3600 150000-160000   00      89.61  877.4     87.01     0.40    -9999
SANAE      211029 3600 160000-170000   00      89.31  877.2     86.58    -0.09    -9999
SANAE      211029 3600 170000-180000   00      90.18  876.9     87.31     0.75    -9999
SANAE      211029 3600 180000-190000   00      89.89  876.7     86.94     0.33    -9999
SANAE      211029 3600 190000-200000   00      89.99  876.4     86.87     0.24    -9999
SANAE      211029 3600 200000-210000   00      90.39  875.9     86.99     0.38    -9999
SANAE      211029 3600 210000-220000   00      90.59  875.5     87.02     0.41    -9999
SANAE      211029 3600 220000-230000   00      90.76  875.2     86.93     0.31    -9999
SANAE      211029 3600 230000-000000   00      90.34  875.0     86.55    -0.12    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM DU TOIT STRAUSS (04.11.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073SNAE_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
