SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    160.16      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 211027 3600 000000-010000   00     168.69  671.4    158.31    -1.15    -9999
SOPO-6NM64 211027 3600 010000-020000   00     169.44  671.1    158.74    -0.89    -9999
SOPO-6NM64 211027 3600 020000-030000   00     169.36  670.9    158.37    -1.12    -9999
SOPO-6NM64 211027 3600 030000-040000   00     170.61  670.3    158.89    -0.79    -9999
SOPO-6NM64 211027 3600 040000-050000   00     171.48  669.7    158.93    -0.77    -9999
SOPO-6NM64 211027 3600 050000-060000   00     171.29  669.3    158.33    -1.14    -9999
SOPO-6NM64 211027 3600 060000-070000   00     172.21  669.1    158.94    -0.76    -9999
SOPO-6NM64 211027 3600 070000-080000   00     172.48  668.9    158.95    -0.76    -9999
SOPO-6NM64 211027 3600 080000-090000   00     172.75  668.5    158.71    -0.91    -9999
SOPO-6NM64 211027 3600 090000-100000   00     173.11  668.2    158.74    -0.89    -9999
SOPO-6NM64 211027 3600 100000-110000   00     173.23  667.9    158.48    -1.05    -9999
SOPO-6NM64 211027 3600 110000-120000   00     173.81  667.8    158.88    -0.80    -9999
SOPO-6NM64 211027 3600 120000-130000   00     174.59  667.9    159.65    -0.32    -9999
SOPO-6NM64 211027 3600 130000-140000   00     174.68  667.7    159.58    -0.36    -9999
SOPO-6NM64 211027 3600 140000-150000   00     175.11  667.5    159.65    -0.32    -9999
SOPO-6NM64 211027 3600 150000-160000   00     174.80  667.5    159.37    -0.49    -9999
SOPO-6NM64 211027 3600 160000-170000   00     175.16  667.7    159.95    -0.13    -9999
SOPO-6NM64 211027 3600 170000-180000   00     174.93  667.8    159.92    -0.15    -9999
SOPO-6NM64 211027 3600 180000-190000   00     173.91  668.1    159.33    -0.52    -9999
SOPO-6NM64 211027 3600 190000-200000   00     172.87  668.6    158.89    -0.79    -9999
SOPO-6NM64 211027 3600 200000-210000   00     172.06  669.1    158.78    -0.86    -9999
