SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    324.85      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH POLE 211027 3600 000000-010000   00     343.07  671.4    321.86    -0.92    -9999
SOUTH POLE 211027 3600 010000-020000   00     343.28  671.1    321.49    -1.03    -9999
SOUTH POLE 211027 3600 020000-030000   00     343.47  670.9    321.06    -1.17    -9999
SOUTH POLE 211027 3600 030000-040000   00     345.51  670.3    321.71    -0.97    -9999
SOUTH POLE 211027 3600 040000-050000   00     347.60  669.7    322.09    -0.85    -9999
SOUTH POLE 211027 3600 050000-060000   00     348.72  669.3    322.18    -0.82    -9999
SOUTH POLE 211027 3600 060000-070000   00     348.46  669.1    321.39    -1.07    -9999
SOUTH POLE 211027 3600 070000-080000   00     348.70  668.9    321.10    -1.15    -9999
SOUTH POLE 211027 3600 080000-090000   00     350.43  668.5    321.73    -0.96    -9999
SOUTH POLE 211027 3600 090000-100000   00     351.15  668.2    321.80    -0.94    -9999
SOUTH POLE 211027 3600 100000-110000   00     352.87  667.9    322.58    -0.70    -9999
SOUTH POLE 211027 3600 110000-120000   00     353.52  667.8    322.82    -0.63    -9999
SOUTH POLE 211027 3600 120000-130000   00     354.13  667.9    323.51    -0.41    -9999
SOUTH POLE 211027 3600 130000-140000   00     354.91  667.7    323.94    -0.28    -9999
SOUTH POLE 211027 3600 140000-150000   00     355.29  667.5    323.63    -0.38    -9999
SOUTH POLE 211027 3600 150000-160000   00     354.99  667.5    323.41    -0.44    -9999
SOUTH POLE 211027 3600 160000-170000   00     355.06  667.7    324.02    -0.25    -9999
SOUTH POLE 211027 3600 170000-180000   00     354.60  667.8    323.96    -0.27    -9999
SOUTH POLE 211027 3600 180000-190000   00     353.03  668.1    323.28    -0.48    -9999
SOUTH POLE 211027 3600 190000-200000   00     350.52  668.6    321.99    -0.88    -9999
SOUTH POLE 211027 3600 200000-210000   00     350.52  669.1    323.29    -0.48    -9999
SOUTH POLE 211027 3600 210000-220000   00     348.39  669.8    323.12    -0.53    -9999
SOUTH POLE 211027 3600 220000-230000   00     346.36  670.7    323.27    -0.49    -9999
SOUTH POLE 211027 3600 230000-240000   00     343.91  671.4    322.72    -0.65    -9999
SOUTH POLE 211028 3600 000000-010000   00     341.54  672.2    322.40    -0.75    -9999
SOUTH POLE 211028 3600 010000-020000   00     339.67  672.8    322.10    -0.85    -9999
SOUTH POLE 211028 3600 020000-030000   00     338.60  673.1    321.96    -0.89    -9999
SOUTH POLE 211028 3600 030000-040000   00     336.88  674.0    322.37    -0.76    -9999
SOUTH POLE 211028 3600 040000-050000   00     334.69  674.9    322.40    -0.76    -9999
SOUTH POLE 211028 3600 050000-060000   00     332.54  675.5    321.86    -0.92    -9999
SOUTH POLE 211028 3600 060000-070000   00     331.06  676.4    322.41    -0.75    -9999
SOUTH POLE 211028 3600 070000-080000   00     329.91  677.1    323.14    -0.53    -9999
SOUTH POLE 211028 3600 080000-090000   00     329.78  677.6    324.34    -0.16    -9999
SOUTH POLE 211028 3600 090000-100000   00     327.78  678.2    323.71    -0.35    -9999
SOUTH POLE 211028 3600 100000-110000   00     326.39  678.9    323.99    -0.27    -9999
SOUTH POLE 211028 3600 110000-120000   00     325.95  679.6    325.06     0.07    -9999
SOUTH POLE 211028 300  120000-120500   00     323.80  679.9    323.76    -0.34    -9999
SOUTH POLE 211028 300  120500-121000   00     324.15  679.9    324.14    -0.22    -9999
SOUTH POLE 211028 300  121000-121500   00     323.74  679.9    323.80    -0.32    -9999
SOUTH POLE 211028 300  121500-122000   00     324.08  680.0    324.25    -0.18    -9999
SOUTH POLE 211028 300  122000-122500   00     325.49  680.0    325.66     0.25    -9999
SOUTH POLE 211028 300  122500-123000   00     323.87  680.0    324.01    -0.26    -9999
SOUTH POLE 211028 300  123000-123500   00     325.33  680.0    325.54     0.21    -9999
SOUTH POLE 211028 300  123500-124000   00     325.10  680.1    325.52     0.21    -9999
SOUTH POLE 211028 300  124000-124500   00     324.26  680.1    324.79    -0.02    -9999
SOUTH POLE 211028 300  124500-125000   00     325.89  680.1    326.39     0.47    -9999
SOUTH POLE 211028 300  125000-125500   00     322.84  680.1    323.39    -0.45    -9999
SOUTH POLE 211028 300  125500-130000   00     321.39  680.2    322.01    -0.87    -9999
SOUTH POLE 211028 300  130000-130500   00     325.84  680.2    326.61     0.54    -9999
SOUTH POLE 211028 300  130500-131000   00     323.43  680.2    324.21    -0.20    -9999
SOUTH POLE 211028 300  131000-131500   00     322.91  680.3    323.91    -0.29    -9999
SOUTH POLE 211028 300  131500-132000   00     323.23  680.3    324.27    -0.18    -9999
SOUTH POLE 211028 300  132000-132500   00     322.12  680.3    323.21    -0.50    -9999
SOUTH POLE 211028 300  132500-133000   00     321.47  680.4    322.66    -0.67    -9999
SOUTH POLE 211028 300  133000-133500   00     323.00  680.4    324.31    -0.17    -9999
SOUTH POLE 211028 300  133500-134000   00     324.49  680.5    325.93     0.33    -9999
SOUTH POLE 211028 300  134000-134500   00     325.48  680.5    326.94     0.64    -9999
SOUTH POLE 211028 300  134500-135000   00     322.11  680.5    323.58    -0.39    -9999
SOUTH POLE 211028 300  135000-135500   00     322.20  680.5    323.70    -0.35    -9999
SOUTH POLE 211028 300  135500-140000   00     322.01  680.5    323.51    -0.41    -9999
