TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.74     % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    123.78      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 211027 3600 000000-010000   00     103.41  994.7    122.68    -0.88    -9999
TERREADELI 211027 3600 010000-020000   00     103.97  994.1    122.89    -0.71    -9999
TERREADELI 211027 3600 020000-030000   00     103.84  993.8    122.58    -0.97    -9999
TERREADELI 211027 3600 030000-040000   00     103.92  993.6    122.24    -1.24    -9999
TERREADELI 211027 3600 040000-050000   00     104.34  993.1    122.50    -1.03    -9999
TERREADELI 211027 3600 050000-060000   00     104.88  992.6    122.55    -0.99    -9999
TERREADELI 211027 3600 060000-070000   00     105.07  992.1    122.25    -1.23    -9999
TERREADELI 211027 3600 070000-080000   00     105.65  991.3    122.23    -1.25    -9999
TERREADELI 211027 3600 080000-090000   00     107.03  990.2    122.84    -0.76    -9999
TERREADELI 211027 3600 090000-100000   00     107.04  989.4    122.11    -1.34    -9999
TERREADELI 211027 3600 100000-110000   00     107.88  988.9    122.60    -0.95    -9999
TERREADELI 211027 3600 110000-120000   00     108.63  987.7    122.36    -1.15    -9999
TERREADELI 211027 3600 120000-130000   00     109.91  986.2    122.56    -0.98    -9999
TERREADELI 211027 3600 130000-140000   00     111.44  984.6    122.76    -0.82    -9999
TERREADELI 211027 3600 140000-150000   00     112.08  983.1    121.96    -1.47    -9999
TERREADELI 211027 3600 150000-160000   00     113.13  981.9    122.26    -1.23    -9999
TERREADELI 211027 3600 160000-170000   00     114.27  980.9    122.37    -1.14    -9999
TERREADELI 211027 3600 170000-180000   00     115.37  979.7    122.59    -0.96    -9999
TERREADELI 211027 3600 180000-190000   00     116.79  978.4    122.86    -0.74    -9999
TERREADELI 211027 3600 190000-200000   00     117.91  977.3    122.97    -0.65    -9999
TERREADELI 211027 3600 200000-210000   00     118.87  976.5    123.20    -0.47    -9999
TERREADELI 211027 3600 210000-220000   00     119.62  975.6    123.14    -0.52    -9999
TERREADELI 211027 3600 220000-230000   00     120.38  974.8    123.22    -0.45    -9999
TERREADELI 211027 3600 230000-000000   00     121.37  973.6    123.10    -0.54    -9999
TERREADELI 211028 3600 000000-010000   00     122.72  972.6    123.59    -0.15    -9999
TERREADELI 211028 3600 010000-020000   00     123.65  971.4    123.34    -0.35    -9999
TERREADELI 211028 3600 020000-030000   00     124.92  970.4    123.85     0.06    -9999
TERREADELI 211028 3600 030000-040000   00     125.56  969.5    123.53    -0.20    -9999
TERREADELI 211028 3600 040000-050000   00     126.76  968.6    123.91     0.11    -9999
TERREADELI 211028 3600 050000-060000   00     127.09  967.7    123.46    -0.26    -9999
TERREADELI 211028 3600 060000-070000   00     128.54  966.9    124.09     0.25    -9999
TERREADELI 211028 3600 070000-080000   00     128.46  966.3    123.50    -0.23    -9999
TERREADELI 211028 3600 080000-090000   00     129.32  965.7    123.70    -0.06    -9999
TERREADELI 211028 3600 090000-100000   00     129.14  965.6    123.44    -0.28    -9999
TERREADELI 211028 3600 100000-110000   00     128.67  965.6    123.09    -0.55    -9999
TERREADELI 211028 3600 110000-120000   00     128.11  966.2    123.14    -0.52    -9999
TERREADELI 211028 300  120000-120500   00     130.93  966.7    126.06     1.84    -9999
TERREADELI 211028 300  120500-121000   00     127.87  966.7    123.22    -0.45    -9999
TERREADELI 211028 300  121000-121500   00     128.13  966.7    123.32    -0.37    -9999
TERREADELI 211028 300  121500-122000   00     127.60  966.7    123.13    -0.53    -9999
TERREADELI 211028 300  122000-122500   00     128.00  966.8    123.41    -0.30    -9999
TERREADELI 211028 300  122500-123000   00     128.40  966.8    123.95     0.14    -9999
TERREADELI 211028 300  123000-123500   00     128.60  966.8    124.20     0.34    -9999
TERREADELI 211028 300  123500-124000   00     127.87  966.8    123.27    -0.41    -9999
TERREADELI 211028 300  124000-124500   00     127.20  966.8    122.70    -0.87    -9999
TERREADELI 211028 300  124500-125000   00     129.80  966.9    125.46     1.36    -9999
TERREADELI 211028 300  125000-125500   00     127.93  967.0    123.84     0.05    -9999
TERREADELI 211028 300  125500-130000   00     127.53  967.1    123.11    -0.54    -9999
TERREADELI 211028 300  130000-130500   00     128.80  967.0    124.51     0.59    -9999
TERREADELI 211028 300  130500-131000   00     129.00  967.1    124.41     0.51    -9999
TERREADELI 211028 300  131000-131500   00     128.53  967.3    124.37     0.48    -9999
TERREADELI 211028 300  131500-132000   00     129.00  967.4    125.25     1.19    -9999
TERREADELI 211028 300  132000-132500   00     129.33  967.3    125.22     1.16    -9999
TERREADELI 211028 300  132500-133000   00     126.07  967.5    122.37    -1.14    -9999
TERREADELI 211028 300  133000-133500   00     127.07  967.5    123.07    -0.57    -9999
TERREADELI 211028 300  133500-134000   00     128.33  967.6    124.51     0.60    -9999
TERREADELI 211028 300  134000-134500   00     127.60  967.7    123.98     0.16    -9999
TERREADELI 211028 300  134500-135000   00     128.47  967.9    124.74     0.78    -9999
TERREADELI 211028 300  135000-135500   00     127.80  968.0    124.59     0.65    -9999
TERREADELI 211028 300  135500-140000   00     127.47  968.0    124.13     0.29    -9999
TERREADELI 211028 300  140000-140500   00     126.67  968.1    123.53    -0.20    -9999
TERREADELI 211028 300  140500-141000   00     127.47  968.2    124.46     0.55    -9999
TERREADELI 211028 300  141000-141500   00     127.40  968.3    124.29     0.41    -9999
TERREADELI 211028 300  141500-142000   00     125.33  968.4    122.37    -1.14    -9999
TERREADELI 211028 300  142000-142500   00     126.33  968.2    123.22    -0.45    -9999
TERREADELI 211028 300  142500-143000   00     125.87  968.2    122.79    -0.80    -9999
TERREADELI 211028 300  143000-143500   00     127.40  968.4    124.39     0.49    -9999
TERREADELI 211028 300  143500-144000   00     125.93  968.4    123.27    -0.41    -9999
TERREADELI 211028 300  144000-144500   00     125.53  968.4    122.65    -0.91    -9999
TERREADELI 211028 300  144500-145000   00     126.47  968.4    123.38    -0.32    -9999
