THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   MB     COEFFICIENT   -0.56     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    128.92      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      211027 3600 000000-010000   00     132.22 1000.9    128.29    -0.49    -9999
THULE      211027 3600 010000-020000   00     132.20 1000.5    127.87    -0.81    -9999
THULE      211027 3600 020000-030000   00     132.71 1000.0    127.93    -0.77    -9999
THULE      211027 3600 030000-040000   00     133.78  999.5    128.51    -0.32    -9999
THULE      211027 3600 040000-050000   00     133.64  999.5    128.37    -0.43    -9999
THULE      211027 3600 050000-060000   00     133.21  999.6    127.99    -0.72    -9999
THULE      211027 3600 060000-070000   00     132.26  999.8    127.28    -1.27    -9999
THULE      211027 3600 070000-080000   00     132.63  999.8    127.70    -0.95    -9999
THULE      211027 3600 080000-090000   00     132.34  999.9    127.44    -1.14    -9999
THULE      211027 3600 090000-100000   00     132.26 1000.0    127.49    -1.11    -9999
THULE      211027 3600 100000-110000   00     132.35 1000.4    127.93    -0.77    -9999
THULE      211027 3600 110000-120000   00     131.71 1000.7    127.59    -1.03    -9999
THULE      211027 3600 120000-130000   00     131.70 1000.8    127.70    -0.95    -9999
THULE      211027 3600 130000-140000   00     131.99 1000.8    127.94    -0.76    -9999
THULE      211027 3600 140000-150000   00     132.06 1000.9    128.09    -0.64    -9999
THULE      211027 3600 150000-160000   00     132.06 1001.2    128.43    -0.38    -9999
THULE      211027 3600 160000-170000   00     132.45 1001.4    129.01     0.07    -9999
THULE      211027 3600 170000-180000   00     132.24 1001.6    128.94     0.01    -9999
THULE      211027 3600 180000-190000   00     132.05 1001.6    128.81    -0.09    -9999
THULE      211027 3600 190000-200000   00     131.68 1001.8    128.63    -0.22    -9999
THULE      211027 3600 200000-210000   00     131.44 1002.1    128.71    -0.16    -9999
THULE      211027 3600 210000-220000   00     130.87 1002.7    128.64    -0.21    -9999
THULE      211027 3600 220000-230000   00     130.42 1002.9    128.38    -0.42    -9999
THULE      211027 3600 230000-240000   00     130.38 1002.9    128.42    -0.39    -9999
THULE      211028 3600 000000-010000   00     129.94 1003.0    128.05    -0.67    -9999
THULE      211028 3600 010000-020000   00     130.23 1002.9    128.28    -0.50    -9999
THULE      211028 3600 020000-030000   00     130.37 1002.7    128.23    -0.54    -9999
THULE      211028 3600 030000-040000   00     130.54 1002.6    128.28    -0.50    -9999
THULE      211028 3600 040000-050000   00     130.71 1002.5    128.32    -0.46    -9999
THULE      211028 3600 050000-060000   00     131.15 1002.4    128.63    -0.22    -9999
THULE      211028 3600 060000-070000   00     131.44 1002.4    128.93     0.01    -9999
THULE      211028 3600 070000-080000   00     131.21 1002.1    128.44    -0.37    -9999
THULE      211028 3600 080000-090000   00     131.15 1002.1    128.36    -0.44    -9999
THULE      211028 3600 090000-100000   00     131.31 1002.0    128.47    -0.35    -9999
THULE      211028 3600 100000-110000   00     131.80 1002.0    128.88    -0.03    -9999
THULE      211028 3600 110000-120000   00     131.49 1001.9    128.48    -0.34    -9999
THULE      211028 300  120000-120500   00     131.09 1001.8    128.04    -0.68    -9999
THULE      211028 300  120500-121000   00     131.58 1001.9    128.56    -0.28    -9999
THULE      211028 300  121000-121500   00     130.80 1001.8    127.75    -0.91    -9999
THULE      211028 300  121500-122000   00     131.62 1001.8    128.52    -0.31    -9999
THULE      211028 300  122000-122500   00     131.53 1001.8    128.44    -0.37    -9999
THULE      211028 300  122500-123000   00     132.76 1001.7    129.53     0.48    -9999
THULE      211028 300  123000-123500   00     132.47 1001.6    129.19     0.21    -9999
THULE      211028 300  123500-124000   00     130.95 1001.6    127.68    -0.96    -9999
