YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    229.20      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    211027 3600 000000-010000   00     238.69  997.4    229.19    -0.01    -9999
YAKUTSK    211027 3600 010000-020000   00     239.80  997.5    230.44     0.54    -9999
YAKUTSK    211027 3600 020000-030000   00     240.47  997.5    231.01     0.79    -9999
YAKUTSK    211027 3600 030000-040000   00     241.16  997.6    231.91     1.18    -9999
YAKUTSK    211027 3600 040000-050000   00     241.48  997.8    232.48     1.43    -9999
YAKUTSK    211027 3600 050000-060000   00     240.01  997.9    231.25     0.89    -9999
YAKUTSK    211027 3600 060000-070000   00     238.32  998.7    230.88     0.73    -9999
YAKUTSK    211027 3600 070000-080000   00     235.75  999.3    229.50     0.13    -9999
YAKUTSK    211027 3600 080000-090000   00     234.18 1000.1    229.18    -0.01    -9999
YAKUTSK    211027 3600 090000-100000   00     233.41 1000.6    229.32     0.05    -9999
YAKUTSK    211027 3600 100000-110000   00     232.20 1001.1    228.98    -0.10    -9999
YAKUTSK    211027 3600 110000-120000   00     231.44 1001.3    228.50    -0.30    -9999
YAKUTSK    211027 3600 120000-130000   00     231.09 1001.1    227.84    -0.59    -9999
YAKUTSK    211027 3600 130000-140000   00     232.48 1000.7    228.64    -0.25    -9999
YAKUTSK    211027 3600 140000-150000   00     232.23 1000.3    227.69    -0.66    -9999
YAKUTSK    211027 3600 150000-160000   00     233.29  999.8    227.88    -0.58    -9999
